,Duration,LOS Duration,sample num,编组大小,公交分担,安检模式,编组大小x公交分担
7,297.39240506329116,115.36708860759494,79,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
0,225.11290322580646,134.88709677419354,124,城际列车,2045年,传统安检,城际列车 2045年
1,269.46666666666664,153.65555555555557,90,城际列车,2045年,传统安检,城际列车 2045年
2,267.75,153.1315789473684,76,城际列车,2045年,传统安检,城际列车 2045年
3,264.8101265822785,153.73417721518987,79,城际列车,2045年,传统安检,城际列车 2045年
4,256.7682926829268,143.40243902439025,82,城际列车,2045年,传统安检,城际列车 2045年
5,260.4725274725275,148.73626373626374,91,城际列车,2045年,传统安检,城际列车 2045年
6,271.10227272727275,162.20454545454547,88,城际列车,2045年,传统安检,城际列车 2045年
7,257.3061224489796,145.18367346938774,98,城际列车,2045年,传统安检,城际列车 2045年
8,254.8846153846154,138.51282051282053,78,城际列车,2045年,传统安检,城际列车 2045年
9,259.61538461538464,150.56410256410257,78,城际列车,2045年,传统安检,城际列车 2045年
10,269.6,160.6705882352941,85,城际列车,2045年,传统安检,城际列车 2045年
11,266.36170212765956,153.31914893617022,94,城际列车,2045年,传统安检,城际列车 2045年
12,271.89285714285717,161.35714285714286,84,城际列车,2045年,传统安检,城际列车 2045年
0,220.640625,134.7890625,128,城际列车,2045年,安检互认,城际列车 2045年
1,277.7088607594937,161.59493670886076,79,城际列车,2045年,安检互认,城际列车 2045年
2,274.90361445783134,163.289156626506,83,城际列车,2045年,安检互认,城际列车 2045年
3,271.3703703703704,165.92592592592592,81,城际列车,2045年,安检互认,城际列车 2045年
4,271.64367816091954,153.77011494252875,87,城际列车,2045年,安检互认,城际列车 2045年
5,269.89772727272725,158.3409090909091,88,城际列车,2045年,安检互认,城际列车 2045年
6,270.9247311827957,161.86021505376345,93,城际列车,2045年,安检互认,城际列车 2045年
7,270.83720930232556,159.74418604651163,86,城际列车,2045年,安检互认,城际列车 2045年
8,260.2266666666667,148.17333333333335,75,城际列车,2045年,安检互认,城际列车 2045年
9,267.6024096385542,154.73493975903614,83,城际列车,2045年,安检互认,城际列车 2045年
10,279.5056179775281,174.2921348314607,89,城际列车,2045年,安检互认,城际列车 2045年
11,277.3440860215054,162.91397849462365,93,城际列车,2045年,安检互认,城际列车 2045年
12,276.1927710843373,166.20481927710844,83,城际列车,2045年,安检互认,城际列车 2045年
0,233.72033898305085,138.28813559322035,118,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
1,277.1645569620253,161.74683544303798,79,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
2,274.67469879518075,164.79518072289156,83,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
3,275.34567901234567,173.44444444444446,81,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
4,271.1609195402299,156.97701149425288,87,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
5,276.0,164.57954545454547,88,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
6,275.48387096774195,168.04301075268816,93,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
7,268.1511627906977,155.02325581395348,86,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
8,271.26666666666665,165.73333333333332,75,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
9,270.89156626506025,161.97590361445782,83,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
10,277.55056179775283,174.2808988764045,89,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
11,275.0430107526882,157.88172043010752,93,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
12,275.1686746987952,167.10843373493975,83,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
0,327.2094594594595,182.51351351351352,148,非城际列车,2045年,传统安检,非城际列车 2045年
1,318.66887417218544,173.66225165562915,151,非城际列车,2045年,传统安检,非城际列车 2045年
2,307.76073619631904,162.24539877300614,163,非城际列车,2045年,传统安检,非城际列车 2045年
3,319.2125,172.96875,160,非城际列车,2045年,传统安检,非城际列车 2045年
4,323.98148148148147,178.64814814814815,162,非城际列车,2045年,传统安检,非城际列车 2045年
5,306.3649635036496,163.33576642335765,137,非城际列车,2045年,传统安检,非城际列车 2045年
6,310.45454545454544,165.73939393939395,165,非城际列车,2045年,传统安检,非城际列车 2045年
7,327.0061728395062,180.5185185185185,162,非城际列车,2045年,传统安检,非城际列车 2045年
0,322.1666666666667,174.75694444444446,144,非城际列车,2045年,安检互认,非城际列车 2045年
1,323.6024844720497,175.3913043478261,161,非城际列车,2045年,安检互认,非城际列车 2045年
2,326.25,179.8658536585366,164,非城际列车,2045年,安检互认,非城际列车 2045年
3,332.91503267973854,184.50980392156862,153,非城际列车,2045年,安检互认,非城际列车 2045年
4,333.65269461077844,186.5688622754491,167,非城际列车,2045年,安检互认,非城际列车 2045年
5,306.3380281690141,160.85211267605635,142,非城际列车,2045年,安检互认,非城际列车 2045年
6,327.71812080536915,180.7986577181208,149,非城际列车,2045年,安检互认,非城际列车 2045年
7,328.864406779661,181.1638418079096,177,非城际列车,2045年,安检互认,非城际列车 2045年
0,319.4852941176471,172.97794117647058,136,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年
1,326.2409638554217,177.36746987951807,166,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年
2,328.3478260869565,181.6086956521739,161,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年
3,337.97402597402595,191.94805194805195,154,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年
4,330.301775147929,185.23668639053255,169,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年
5,314.7730496453901,167.78014184397162,141,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年
6,332.0198675496689,183.5496688741722,151,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年
7,331.5310734463277,184.90395480225988,177,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年
