,Duration,LOS Duration,sample num,编组大小,公交分担,安检模式,编组大小x公交分担
15,44.857142857142854,14.494505494505495,91,城际列车,2035年,人脸识别+安检互认,城际列车 2035年
0,105.83193277310924,19.941176470588236,119,非城际列车,2035年,传统安检,非城际列车 2035年
1,103.88571428571429,15.333333333333334,105,非城际列车,2035年,传统安检,非城际列车 2035年
2,102.91743119266054,12.256880733944953,109,非城际列车,2035年,传统安检,非城际列车 2035年
3,102.56410256410257,13.025641025641026,117,非城际列车,2035年,传统安检,非城际列车 2035年
4,107.43119266055047,16.174311926605505,109,非城际列车,2035年,传统安检,非城际列车 2035年
5,107.2892561983471,14.50413223140496,121,非城际列车,2035年,传统安检,非城际列车 2035年
6,108.54761904761905,20.015873015873016,126,非城际列车,2035年,传统安检,非城际列车 2035年
7,104.86086956521739,16.565217391304348,115,非城际列车,2035年,传统安检,非城际列车 2035年
8,102.64285714285714,11.418367346938776,98,非城际列车,2035年,传统安检,非城际列车 2035年
9,103.97560975609755,15.585365853658537,123,非城际列车,2035年,传统安检,非城际列车 2035年
10,105.47826086956522,15.934782608695652,92,非城际列车,2035年,传统安检,非城际列车 2035年
0,44.34710743801653,6.008264462809917,121,非城际列车,2035年,安检互认,非城际列车 2035年
1,43.673469387755105,6.336734693877551,98,非城际列车,2035年,安检互认,非城际列车 2035年
2,44.25,6.224137931034483,116,非城际列车,2035年,安检互认,非城际列车 2035年
3,45.70175438596491,6.166666666666667,114,非城际列车,2035年,安检互认,非城际列车 2035年
4,45.094339622641506,6.339622641509434,106,非城际列车,2035年,安检互认,非城际列车 2035年
5,43.983739837398375,6.926829268292683,123,非城际列车,2035年,安检互认,非城际列车 2035年
6,43.75609756097561,6.544715447154472,123,非城际列车,2035年,安检互认,非城际列车 2035年
7,44.965811965811966,6.205128205128205,117,非城际列车,2035年,安检互认,非城际列车 2035年
8,44.24752475247525,6.524752475247524,101,非城际列车,2035年,安检互认,非城际列车 2035年
9,44.44736842105263,6.456140350877193,114,非城际列车,2035年,安检互认,非城际列车 2035年
10,45.572916666666664,6.416666666666667,96,非城际列车,2035年,安检互认,非城际列车 2035年
0,45.773109243697476,5.142857142857143,119,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
1,45.81553398058252,4.961165048543689,103,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
2,46.39473684210526,4.921052631578948,114,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
3,47.22222222222222,4.972222222222222,108,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
4,47.443396226415096,4.650943396226415,106,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
5,46.352,5.296,125,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
6,45.82786885245902,4.950819672131147,122,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
7,46.84347826086957,5.052173913043478,115,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
8,46.94,5.07,100,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
9,46.41525423728814,4.584745762711864,118,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
10,47.3936170212766,5.170212765957447,94,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
0,187.68478260869566,137.6195652173913,184,城际列车,2045年,传统安检,城际列车 2045年
1,184.1957671957672,128.64550264550263,189,城际列车,2045年,传统安检,城际列车 2045年
0,46.81042654028436,17.744075829383885,211,城际列车,2045年,安检互认,城际列车 2045年
1,46.86610878661088,17.673640167364017,239,城际列车,2045年,安检互认,城际列车 2045年
2,45.601851851851855,15.583333333333334,216,城际列车,2045年,安检互认,城际列车 2045年
3,47.450892857142854,17.714285714285715,224,城际列车,2045年,安检互认,城际列车 2045年
4,43.44845360824742,14.355670103092784,194,城际列车,2045年,安检互认,城际列车 2045年
5,46.07035175879397,17.809045226130653,199,城际列车,2045年,安检互认,城际列车 2045年
6,46.972972972972975,18.31981981981982,222,城际列车,2045年,安检互认,城际列车 2045年
7,46.383495145631066,17.611650485436893,206,城际列车,2045年,安检互认,城际列车 2045年
8,46.57657657657658,17.07207207207207,222,城际列车,2045年,安检互认,城际列车 2045年
9,46.25,17.0,216,城际列车,2045年,安检互认,城际列车 2045年
10,44.646766169154226,16.149253731343283,201,城际列车,2045年,安检互认,城际列车 2045年
11,47.028688524590166,18.44672131147541,244,城际列车,2045年,安检互认,城际列车 2045年
12,45.27317073170732,16.258536585365853,205,城际列车,2045年,安检互认,城际列车 2045年
13,46.43577981651376,16.954128440366972,218,城际列车,2045年,安检互认,城际列车 2045年
14,45.98190045248869,17.990950226244344,221,城际列车,2045年,安检互认,城际列车 2045年
15,46.67857142857143,16.995535714285715,224,城际列车,2045年,安检互认,城际列车 2045年
0,50.83574879227053,21.579710144927535,207,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
1,50.16101694915254,20.9364406779661,236,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
2,49.65727699530517,18.901408450704224,213,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
3,51.50909090909091,21.44090909090909,220,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
4,48.9119170984456,19.93782383419689,193,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
5,50.15151515151515,22.232323232323232,198,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
6,49.81981981981982,20.954954954954953,222,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
7,50.166666666666664,20.598039215686274,204,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
8,50.19634703196347,21.59360730593607,219,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
9,50.15492957746479,20.582159624413144,213,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
10,47.92039800995025,18.46268656716418,201,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
11,51.609053497942384,22.991769547325102,243,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
12,48.89,18.945,200,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
13,49.69585253456221,19.617511520737327,217,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
14,49.516129032258064,21.327188940092167,217,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
15,51.414414414414416,21.833333333333332,222,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
0,150.4746835443038,71.64873417721519,316,非城际列车,2045年,传统安检,非城际列车 2045年
1,136.49404761904762,56.17857142857143,336,非城际列车,2045年,传统安检,非城际列车 2045年
2,142.19774011299435,60.516949152542374,354,非城际列车,2045年,传统安检,非城际列车 2045年
3,126.73333333333333,45.834782608695654,345,非城际列车,2045年,传统安检,非城际列车 2045年
4,141.89117647058825,62.588235294117645,340,非城际列车,2045年,传统安检,非城际列车 2045年
5,131.51226158038148,50.76566757493188,367,非城际列车,2045年,传统安检,非城际列车 2045年
6,135.33136094674558,54.467455621301774,338,非城际列车,2045年,传统安检,非城际列车 2045年
7,140.16526610644257,60.38375350140056,357,非城际列车,2045年,传统安检,非城际列车 2045年
8,134.8765060240964,52.045180722891565,332,非城际列车,2045年,传统安检,非城际列车 2045年
9,127.48680351906158,43.67741935483871,341,非城际列车,2045年,传统安检,非城际列车 2045年
10,137.52409638554218,55.72289156626506,332,非城际列车,2045年,传统安检,非城际列车 2045年
0,51.06185567010309,6.587628865979381,97,非城际列车,2045年,安检互认,非城际列车 2045年
1,50.096774193548384,6.935483870967742,93,非城际列车,2045年,安检互认,非城际列车 2045年
2,58.6,7.78,50,非城际列车,2045年,安检互认,非城际列车 2045年
0,47.57361963190184,6.085889570552148,326,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年
1,48.25748502994012,6.592814371257485,334,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年
2,48.700280112044815,6.0,357,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年
3,48.10060975609756,5.7073170731707314,328,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年
4,47.505780346820806,6.069364161849711,346,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年
5,47.84153005464481,5.759562841530054,366,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年
6,48.18529411764706,5.844117647058823,340,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年
7,48.15229885057471,6.204022988505747,348,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年
8,48.46951219512195,6.060975609756097,328,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年
9,47.768545994065285,5.4094955489614245,337,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年
10,48.07058823529412,5.905882352941177,340,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年
