车次,列车类型,始发站,始发时间,经过站,经过站,经过站,终点站,到达时间
,,,,,到达时间,发车时间,,
K6584,快速,广州,0:32,广州,当天----,0:32,常德,11:14
K6608,快速,广州,23:39,广州,当天----,23:39,岳阳,9:43
K6614,快速,广州,1:40,广州,当天----,1:40,岳阳,11:50
K6632,快速,广州,0:46,广州,当天----,0:46,咸丰,17:15
K685,快速,汕头,7:50,广州,当天15:34,15:55,重庆北,14:07
K687,快速,重庆北,12:34,广州,第2日07:18,7:38,汕头,15:09
K688,快速,汕头,8:30,广州,当天16:34,16:54,重庆北,11:34
K755,快速,洛阳,15:12,广州,第2日14:00,14:00,广州,14:00
K756,快速,广州,18:46,广州,当天----,18:46,洛阳,19:30
K758,快速,洛阳,15:12,广州,第2日14:00,14:00,广州,14:00
K767,快速,广州,10:00,广州,当天10:00,10:00,汉中,12:44
K768,快速,汉中,13:35,广州,第2日17:44,17:44,广州,17:44
K769,快速,汉中,13:35,广州,第2日17:44,17:44,广州,17:44
K770,快速,广州,10:00,广州,当天----,10:00,汉中,12:44
K775,快速,兰州西,7:40,广州,第2日18:01,18:13,东莞东,20:08
K776,快速,东莞东,9:26,广州,当天10:41,11:04,兰州西,21:43
K777,快速,东莞东,9:26,广州,当天10:41,11:04,兰州西,21:43
K778,快速,兰州西,7:40,广州,第2日18:01,18:13,东莞东,20:08
K81,快速,西安,10:04,广州,第2日13:41,13:41,广州,13:41
K812,快速,达州,17:14,广州,第2日18:55,18:55,广州,18:55
K813,快速,达州,17:14,广州,第2日18:55,18:55,广州,18:55
K814,快速,广州,14:56,广州,当天----,14:56,达州,16:14
K82,快速,广州,17:02,广州,当天----,17:02,西安,21:18
K827,快速,深圳东,13:38,广州,当天15:27,15:47,昭通,21:34
K828,快速,昭通,22:57,广州,第3日04:12,4:32,深圳东,6:30
K829,快速,昭通,22:57,广州,第3日04:12,4:32,深圳东,6:30
K83,快速,广州,17:02,广州,当天----,17:02,西安,21:18
K830,快速,深圳东,13:38,广州,当天15:27,15:47,昭通,21:34
K835,快速,重庆西,21:21,广州,第3日05:06,5:21,深圳西,7:50
K836,快速,深圳西,9:33,广州,当天12:00,12:21,重庆西,19:12
K837,快速,深圳西,9:33,广州,当天12:00,12:21,重庆西,19:12
K838,快速,重庆西,21:21,广州,第3日05:06,5:21,深圳西,7:50
K84,快速,西安,10:04,广州,第2日13:41,13:41,广州,13:41
K841,快速,广州,13:08,广州,当天----,13:08,贵阳,9:43
K842,快速,贵阳,15:58,广州,第2日12:08,12:08,广州,12:08
K843,快速,贵阳,15:58,广州,第2日12:08,12:08,广州,12:08
K844,快速,广州,13:08,广州,当天----,13:08,贵阳,9:43
K85,快速,广州,18:35,广州,当天----,18:35,景德镇北,10:09
K87,快速,景德镇北,14:59,广州,第2日07:36,7:36,广州,7:36
K88,快速,广州,18:35,广州,当天18:35,18:35,景德镇北,10:09
K9004,快速,深圳东,19:40,广州,当天21:20,21:30,岳阳,7:34
K9005,快速,张家界西,19:23,广州,第2日07:59,8:12,深圳东,9:46
K9006,快速,深圳东,18:26,广州,当天20:20,20:34,张家界西,8:59
K9011,快速,长沙,19:43,广州,第2日03:46,4:08,汕头,12:18
K9012,快速,汕头,13:16,广州,当天21:03,21:23,长沙,5:38
K9013,快速,汕头,13:20,广州,当天21:17,21:42,长沙,6:02
K9017,快速,长沙,23:39,广州,第2日07:44,7:54,深圳,9:55
K9018,快速,深圳,20:56,广州,当天22:44,23:00,长沙,6:55
K9031,快速,岳阳,19:26,广州,第2日06:28,6:28,广州,6:28
K9032,快速,广州,22:38,广州,当天----,22:38,岳阳,8:20
K9045,快速,广州,13:48,广州,当天13:48,13:48,茂名,18:44
K9046,快速,茂名,8:15,广州,当天13:05,13:05,广州,13:05
K9049,快速,广州,7:13,广州,当天00:00,7:13,信宜,13:38
K9050,快速,信宜,14:18,广州,当天20:40,20:40,广州,20:40
K9059,快速,怀化,13:17,广州,第2日03:53,4:14,深圳西,6:38
K9060,快速,深圳西,11:50,广州,当天14:07,14:27,怀化,5:08
K9062,快速,怀化,13:17,广州,第2日03:53,4:14,深圳西,6:38
K9063,快速,铜仁,12:00,广州,第2日06:55,7:15,深圳西,10:50
K9064,快速,深圳西,10:26,广州,当天12:36,12:56,铜仁,9:20
K9065,快速,深圳西,10:26,广州,当天12:36,12:56,铜仁,9:20
K9066,快速,铜仁,12:00,广州,第2日06:55,7:15,深圳西,10:50
K9075,快速,常德,21:36,广州,第2日08:20,8:32,深圳,10:28
K9076,快速,深圳,19:36,广州,当天21:37,21:53,常德,8:33
K9077,快速,益阳,21:08,广州,第2日08:26,8:46,深圳西,12:16
K9078,快速,深圳西,8:26,广州,当天10:28,10:48,益阳,20:15
K9083,快速,娄底,8:30,广州,当天19:08,19:28,深圳西,21:45
K9084,快速,深圳西,19:30,广州,当天22:02,22:24,娄底,7:50
K9093,快速,衡阳,21:46,广州,第2日03:40,4:02,深圳西,6:18
K9094,快速,深圳西,23:30,广州,第2日01:40,2:05,衡阳,7:43
K9121,快速,衡阳,14:00,广州,当天20:10,20:20,深圳,22:26
K9122,快速,深圳,21:48,广州,当天23:37,23:52,衡阳,5:42
K9125,快速,永州,20:56,广州,第2日04:47,5:09,深圳西,7:26
K9126,快速,深圳西,20:42,广州,当天22:50,23:15,永州,7:49
K9128,快速,永州,20:56,广州,第2日04:47,5:09,深圳西,7:26
K9139,快速,信宜,13:22,广州,当天20:55,20:55,广州,20:55
K9140,快速,广州,7:13,广州,当天00:00,7:13,信宜,13:38
K950,快速,金城江,15:48,广州,第2日07:34,7:46,深圳,9:45
K951,快速,金城江,15:48,广州,第2日07:34,7:46,深圳,9:45
K952,快速,深圳,16:33,广州,当天18:32,18:52,金城江,9:45
T121,特快,广州,17:42,广州,当天----,17:42,长春,6:49
T122,特快,长春,21:28,广州,第3日10:40,10:40,广州,10:40
T123,特快,长春,21:28,广州,第3日10:40,10:40,广州,10:40
T124,特快,广州,17:42,广州,当天----,17:42,长春,6:49
T151,特快,泰州,15:35,广州,第2日16:57,16:57,广州,16:57
T152,特快,广州,9:10,广州,当天----,9:10,泰州,10:56
T154,特快,泰州,15:35,广州,第2日16:57,16:57,广州,16:57
T169,特快,上海南,10:50,广州,第2日05:12,5:12,广州,5:12
T170,特快,广州,15:02,广州,当天----,15:02,上海南,9:13
T179,特快,济南,17:19,广州,第2日16:30,16:30,广州,16:30
T180,特快,广州,20:20,广州,当天----,20:20,济南,18:47
T252,特快,天津,12:33,广州,第2日15:46,15:46,广州,15:46
T253,特快,天津,12:33,广州,第2日15:46,15:46,广州,15:46
T254,特快,广州,19:36,广州,当天----,19:36,天津,22:00
T367,特快,广州,13:22,广州,当天----,13:22,大连,6:07
T368,特快,大连,15:31,广州,第3日05:18,5:18,广州,5:18
T369,特快,大连,15:31,广州,第3日05:18,5:18,广州,5:18
T370,特快,广州,13:22,广州,当天----,13:22,大连,6:07
T8301,特快,张家界西,17:43,广州,第2日05:30,5:30,广州,5:30
T8302,特快,广州,17:52,广州,当天----,17:52,张家界西,5:30
T8375,特快,南雄,13:28,广州,当天17:12,17:18,广州东,17:28
T8376,特快,广州东,8:20,广州,当天08:30,8:40,南雄,12:28
T95,特快,武昌,19:06,广州,第2日06:15,6:30,深圳,8:46
T96,特快,深圳,16:26,广州,当天17:57,18:12,武昌,7:00
Z111,直特,哈尔滨西,11:10,广州,第2日21:05,21:30,海口,8:46
Z112,直特,海口,17:30,广州,第2日07:11,7:36,哈尔滨西,18:01
Z113,直特,海口,17:30,广州,第2日07:11,7:36,哈尔滨西,18:01
Z114,直特,哈尔滨西,11:10,广州,第2日21:05,21:30,海口,8:46
Z121,直特,成都,17:14,广州,第2日18:22,18:22,广州,18:22
Z122,直特,广州,22:18,广州,当天----,22:18,成都,23:21
Z123,直特,广州,22:18,广州,当天22:18,22:18,成都,23:21
Z124,直特,成都,17:14,广州,第2日18:22,18:22,广州,18:22
Z135,直特,广州,8:32,广州,当天----,8:32,乌鲁木齐,8:35
Z136,直特,乌鲁木齐,19:52,广州,第3日21:11,21:11,广州,21:11
Z137,直特,乌鲁木齐,19:52,广州,第3日21:11,21:11,广州,21:11
Z138,直特,广州,8:32,广州,当天----,8:32,乌鲁木齐,8:35
Z189,直特,郑州,16:40,广州,第2日09:16,9:16,广州,9:16
Z190,直特,广州,15:50,广州,当天----,15:50,郑州,7:56
Z201,直特,北京西,17:54,广州,第2日15:34,15:57,三亚,8:12
Z202,直特,三亚,17:35,广州,第2日08:20,8:40,北京西,6:46
Z229,直特,乌鲁木齐,18:00,广州,第3日17:32,17:44,深圳,19:14
Z23,直特,武昌,19:30,广州,第2日06:21,6:36,深圳,8:12
Z230,直特,深圳,9:30,广州,当天11:01,11:17,乌鲁木齐,10:07
Z231,直特,深圳,9:30,广州,当天11:01,11:17,乌鲁木齐,10:07
Z232,直特,乌鲁木齐,18:00,广州,第3日17:32,17:44,深圳,19:14
Z263,直特,拉萨,12:55,广州,第3日20:00,20:00,广州,20:00
Z264,直特,广州,11:52,广州,当天----,11:52,拉萨,16:45
Z265,直特,广州,11:52,广州,当天11:52,11:52,拉萨,16:45
Z266,直特,拉萨,12:55,广州,第3日19:50,19:50,广州,19:50
Z35,直特,北京西,11:49,广州,第2日09:05,9:05,广州,9:05
Z36,直特,广州,16:28,广州,当天----,16:28,北京西,13:44
Z383,直特,三亚,7:08,广州,当天22:23,22:53,长春,11:43
Z384,直特,长春,17:05,广州,第3日05:00,5:22,三亚,20:00
Z385,直特,长春,17:05,广州,第3日05:00,5:22,三亚,20:00
Z386,直特,三亚,7:08,广州,当天22:23,22:53,长春,11:43
Z4189,直特,郑州,9:20,广州,第2日04:15,4:15,广州,4:15
Z4190,直特,广州,10:55,广州,当天----,10:55,郑州,8:12
Z89,直特,石家庄,16:46,广州,第2日12:26,12:26,广州,12:26
Z90,直特,广州,13:46,广州,当天----,13:46,石家庄,10:02
