车次,列车类型,始发站,始发时间,经过站,经过站,经过站,终点站,到达时间
,,,,,到达时间,发车时间,,
G7033,高速,常州,7:00,上海,当天08:18,8:18,上海,8:18
G7034,高速,上海,7:10,上海,当天----,7:10,南京,9:18
G7035,高速,南京,6:30,上海,当天08:35,8:35,上海,8:35
G7036,高速,上海,8:10,上海,当天----,8:10,南京,10:14
G7037,高速,南京南,6:40,上海,当天08:58,8:58,上海,8:58
G7038,高速,上海,9:08,上海,当天----,9:08,南京,11:21
G7039,高速,南京,7:15,上海,当天09:15,9:15,上海,9:15
G7040,高速,上海,9:54,上海,当天----,9:54,南京,11:51
G7041,高速,南京,15:47,上海,当天17:50,17:50,上海,17:50
G7042,高速,上海,10:05,上海,当天----,10:05,南京,12:07
G7043,高速,南京南,7:12,上海,当天09:35,9:35,上海,9:35
G7044,高速,上海,10:46,上海,当天----,10:46,南京,12:44
G7045,高速,南京,9:28,上海,当天11:35,11:35,上海,11:35
G7046,高速,上海,12:10,上海,当天----,12:10,南京,14:13
G7047,高速,南京,10:10,上海,当天12:07,12:07,上海,12:07
G7048,高速,上海,12:28,上海,当天12:28,12:28,南京,14:35
G7049,高速,南京,11:41,上海,当天13:48,13:48,上海,13:48
G7050,高速,上海,14:30,上海,当天----,14:30,南京,16:29
G7051,高速,南京,12:08,上海,当天14:12,14:12,上海,14:12
G7052,高速,上海,15:39,上海,当天----,15:39,南京,17:44
G7053,高速,南京,13:08,上海,当天15:15,15:15,上海,15:15
G7054,高速,上海,16:20,上海,当天----,16:20,南京,18:21
G7055,高速,南京,13:54,上海,当天15:51,15:51,上海,15:51
G7056,高速,上海,17:26,上海,当天----,17:26,南京,19:29
G7057,高速,南京,14:28,上海,当天16:28,16:28,上海,16:28
G7058,高速,上海,18:14,上海,当天----,18:14,南京,20:20
G7059,高速,南京,15:05,上海,当天16:59,16:59,上海,16:59
G7060,高速,上海,10:40,上海,当天----,10:40,安庆,14:52
G7061,高速,上海,10:40,上海,当天10:40,10:40,安庆,14:52
G7062,高速,上海,19:29,上海,当天----,19:29,南京,21:32
G7063,高速,南京,16:13,上海,当天18:21,18:21,上海,18:21
G7065,高速,南京,18:09,上海,当天20:14,20:14,上海,20:14
G7066,高速,上海,20:15,上海,当天----,20:15,南京南,22:15
G7068,高速,上海,21:50,上海,当天----,21:50,南京,23:30
G7069,高速,南京,20:39,上海,当天22:33,22:33,上海,22:33
G7070,高速,上海,20:40,上海,当天----,20:40,南京南,22:40
G7071,高速,安庆,8:22,上海,当天12:35,12:35,上海,12:35
G7072,高速,上海,5:48,上海,当天----,5:48,安庆,10:05
G7073,高速,上海,5:48,上海,当天05:48,5:48,安庆,10:05
G7074,高速,安庆,8:22,上海,当天12:35,12:35,上海,12:35
