车次,列车类型,始发站,始发时间,经过站,经过站,经过站,终点站,到达时间
,,,,,到达时间,发车时间,,
G806,高速,郑州,13:39,郑州,当天----,13:39,北京西,16:26
G817,高速,西安北,9:35,郑州,当天11:59,12:02,深圳北,19:25
G818,高速,深圳北,9:35,郑州,当天16:55,17:00,西安北,19:14
G819,高速,深圳北,9:35,郑州,当天16:55,17:00,西安北,19:14
G820,高速,西安北,9:35,郑州,当天11:59,12:02,深圳北,19:25
G821,高速,西安北,11:01,郑州,当天13:12,13:15,深圳北,20:40
G822,高速,深圳北,9:55,郑州,当天17:14,17:18,西安北,19:35
G823,高速,深圳北,9:55,郑州,当天17:14,17:18,西安北,19:35
G824,高速,西安北,11:01,郑州,当天13:12,13:15,深圳北,20:40
G825,高速,西安北,12:33,郑州,当天15:01,15:04,深圳北,22:34
G826,高速,深圳北,12:48,郑州,当天20:24,20:27,西安北,22:38
G827,高速,深圳北,12:48,郑州,当天20:24,20:27,西安北,22:38
G828,高速,西安北,12:33,郑州,当天15:01,15:04,深圳北,22:34
G831,高速,兰州西,8:03,郑州,当天13:41,13:50,广州南,20:45
G832,高速,广州南,7:04,郑州,当天13:44,13:55,西安北,16:06
G833,高速,广州南,7:04,郑州,当天13:44,13:55,西安北,16:06
G834,高速,兰州西,8:03,郑州,当天13:41,13:50,广州南,20:45
G835,高速,西安北,12:28,郑州,当天14:44,14:47,广州南,21:23
G836,高速,广州南,11:25,郑州,当天18:00,18:03,西安北,20:09
G837,高速,广州南,11:25,郑州,当天18:00,18:03,西安北,20:09
G838,高速,西安北,12:28,郑州,当天14:44,14:47,广州南,21:23
G839,高速,西安北,13:22,郑州,当天15:33,15:36,深圳北,22:44
G840,高速,深圳北,12:58,郑州,当天20:30,20:34,西安北,22:49
G841,高速,深圳北,12:58,郑州,当天20:30,20:34,西安北,22:49
G842,高速,西安北,13:22,郑州,当天15:33,15:36,深圳北,22:44
G843,高速,兰州西,10:33,郑州,当天16:09,16:17,广州南,23:00
G844,高速,广州南,12:23,郑州,当天19:13,19:16,兰州西,23:50
G845,高速,广州南,12:23,郑州,当天19:13,19:16,兰州西,23:50
G846,高速,兰州西,10:33,郑州,当天16:09,16:17,广州南,23:00
G847,高速,洛阳龙门,7:41,郑州,当天08:34,8:38,广州南,15:47
G850,高速,洛阳龙门,7:41,郑州,当天08:34,8:38,广州南,15:47
G851,高速,兰州西,10:49,郑州,当天16:26,16:29,武汉,19:25
G852,高速,武汉,12:03,郑州,当天14:24,14:30,兰州西,20:26
G853,高速,武汉,12:03,郑州,当天14:24,14:30,兰州西,20:26
G854,高速,兰州西,10:49,郑州,当天16:26,16:29,武汉,19:25
G855,高速,西安北,15:17,郑州,当天17:22,17:26,武汉,19:48
G856,高速,武汉,9:17,郑州,当天12:01,12:04,西安北,14:20
G857,高速,武汉,9:17,郑州,当天12:01,12:04,西安北,14:20
G858,高速,西安北,15:17,郑州,当天17:22,17:26,武汉,19:48
G863,高速,兰州西,7:19,郑州,当天12:51,13:01,长沙南,17:00
G864,高速,长沙南,9:05,郑州,当天13:38,13:46,兰州西,19:24
G865,高速,长沙南,9:05,郑州,当天13:38,13:46,兰州西,19:24
G866,高速,兰州西,7:19,郑州,当天12:51,13:01,长沙南,17:00
G867,高速,西安北,7:00,郑州,当天08:54,8:57,温州南,19:15
G868,高速,温州南,9:21,郑州,当天19:23,19:32,西安北,22:00
G869,高速,温州南,9:21,郑州,当天19:23,19:32,西安北,22:00
G870,高速,西安北,7:00,郑州,当天08:54,8:57,温州南,19:15
G9203,高速,郑州东,22:20,郑州,当天22:35,22:41,洛阳龙门,23:18
G95,高速,西安北,9:57,郑州,当天11:47,11:50,广州南,17:36
G96,高速,广州南,8:55,郑州,当天14:33,14:39,兰州西,19:19
G97,高速,广州南,8:55,郑州,当天14:33,14:39,兰州西,19:19
G98,高速,西安北,9:57,郑州,当天11:47,11:50,广州南,17:36
K1025,快速,兰州,23:45,郑州,第2日18:09,18:20,青岛北,7:28
K1026,快速,青岛北,10:47,郑州,当天00:15,0:27,兰州,15:57
K1027,快速,青岛北,10:47,郑州,当天00:15,0:27,兰州,15:57
K1028,快速,兰州,23:45,郑州,第2日18:09,18:20,青岛北,7:28
K1061,快速,重庆,21:36,郑州,第2日17:57,18:35,哈尔滨西,21:29
K1062,快速,哈尔滨西,15:03,郑州,第2日19:50,20:13,重庆,16:20
K1063,快速,哈尔滨西,15:03,郑州,第2日19:50,20:13,重庆,16:20
K1064,快速,重庆,21:36,郑州,第2日17:57,18:35,哈尔滨西,21:29
K1101,快速,安阳,16:14,郑州,当天19:23,19:34,上海,8:59
K1102,快速,上海,13:44,郑州,第2日02:56,3:12,安阳,6:30
K1103,快速,上海,13:44,郑州,第2日02:56,3:12,安阳,6:30
K1104,快速,安阳,16:14,郑州,当天19:23,19:34,上海,8:59
K1129,快速,宝鸡,10:05,郑州,当天20:11,20:21,烟台,13:29
K1130,快速,烟台,15:32,郑州,第2日08:36,8:48,宝鸡,19:38
K1131,快速,烟台,15:32,郑州,第2日08:36,8:48,宝鸡,19:38
K1132,快速,宝鸡,10:05,郑州,当天20:11,20:21,烟台,13:29
K1141,快速,洛阳,14:35,郑州,当天16:20,16:49,启东,6:56
K1142,快速,启东,8:13,郑州,当天21:33,21:56,洛阳,23:36
K1143,快速,启东,8:13,郑州,当天21:33,21:56,洛阳,23:36
K1144,快速,洛阳,14:35,郑州,当天16:20,16:49,启东,6:56
K1147,快速,昆山,10:07,郑州,当天22:04,22:31,新乡,23:35
K1148,快速,新乡,17:45,郑州,当天19:01,19:28,昆山,8:34
K1149,快速,新乡,17:45,郑州,当天19:01,19:28,昆山,8:34
K1150,快速,昆山,10:07,郑州,当天22:04,22:31,新乡,23:35
