车次,列车类型,始发站,始发时间,经过站,经过站,经过站,终点站,到达时间
,,,,,到达时间,发车时间,,
C7106,动车,深圳,16:22,广州东,当天17:47,17:47,广州东,17:47
C7107,动车,广州东,18:10,广州东,当天----,18:10,深圳,19:30
C7108,动车,深圳,19:44,广州东,当天21:07,21:07,广州东,21:07
C7109,动车,广州东,21:26,广州东,当天----,21:26,深圳,22:45
C7110,动车,深圳,7:10,广州东,当天08:34,8:42,广州东,8:34
C7111,动车,广州东,9:28,广州东,当天09:18,9:28,深圳,10:52
C7112,动车,深圳,11:06,广州东,当天12:31,12:31,广州东,12:31
C7113,动车,广州东,13:03,广州东,当天----,13:03,深圳,14:29
C7114,动车,深圳,14:47,广州东,当天16:05,16:05,广州东,16:05
C7115,动车,广州东,16:20,广州东,当天----,16:20,深圳,17:41
C7116,动车,深圳,18:09,广州东,当天19:34,19:34,广州东,19:34
C7117,动车,广州东,20:06,广州东,当天----,20:06,深圳,21:28
C7118,动车,深圳,21:40,广州东,当天23:02,23:02,广州东,23:02
C7125,动车,广州东,8:05,广州东,当天----,8:05,深圳,9:28
C7126,动车,深圳,9:45,广州东,当天11:09,11:14,广州东,11:09
C7127,动车,广州东,11:54,广州东,当天11:49,11:54,深圳,13:14
C7128,动车,深圳,13:28,广州东,当天14:50,14:53,广州东,14:50
C7129,动车,广州东,15:38,广州东,当天15:30,15:38,深圳,17:00
C7130,动车,深圳,17:28,广州东,当天18:51,18:58,广州东,18:51
C7131,动车,广州东,19:36,广州东,当天19:32,19:36,深圳,20:57
C7132,动车,深圳,21:20,广州东,当天22:39,22:39,广州东,22:39
C7133,动车,广州东,8:16,广州东,当天----,8:16,深圳,9:38
C7134,动车,深圳,9:54,广州东,当天11:18,11:18,广州东,11:18
C7135,动车,广州东,11:36,广州东,当天----,11:36,深圳,12:54
C7136,动车,深圳,13:08,广州东,当天14:30,14:30,广州东,14:30
C7137,动车,广州东,15:04,广州东,当天----,15:04,深圳,16:25
C7138,动车,深圳,16:40,广州东,当天18:03,18:03,广州东,18:03
C7139,动车,广州东,18:32,广州东,当天----,18:32,深圳,19:51
C7140,动车,深圳,20:05,广州东,当天21:26,21:26,广州东,21:26
C7141,动车,广州东,21:57,广州东,当天----,21:57,深圳,23:19
C7142,动车,深圳,6:27,广州东,当天07:49,7:55,广州东,7:49
C7143,动车,广州东,8:36,广州东,当天08:30,8:36,深圳,9:59
C7144,动车,深圳,10:13,广州东,当天11:34,11:34,广州东,11:34
C7145,动车,广州东,12:00,广州东,当天12:00,12:00,深圳,13:25
C7146,动车,深圳,13:40,广州东,当天14:59,14:59,广州东,14:59
C7147,动车,广州东,15:21,广州东,当天----,15:21,深圳,16:43
C7148,动车,深圳,17:10,广州东,当天18:35,18:35,广州东,18:35
C7149,动车,广州东,18:49,广州东,当天----,18:49,深圳,20:07
C7150,动车,深圳,20:20,广州东,当天21:38,21:38,广州东,21:38
C7151,动车,广州东,8:54,广州东,当天----,8:54,深圳,10:17
C7152,动车,深圳,10:34,广州东,当天11:59,12:03,广州东,11:59
C7153,动车,广州东,12:54,广州东,当天12:40,12:54,深圳,14:12
C7154,动车,深圳,14:26,广州东,当天15:48,15:48,广州东,15:48
C7155,动车,广州东,16:12,广州东,当天----,16:12,深圳,17:34
C7156,动车,深圳,17:56,广州东,当天19:24,19:24,广州东,19:24
C7157,动车,广州东,19:49,广州东,当天----,19:49,深圳,21:15
C7160,动车,深圳,7:20,广州东,当天08:43,8:43,广州东,8:43
C7161,动车,广州东,9:03,广州东,当天----,9:03,深圳,10:27
C7162,动车,深圳,10:47,广州东,当天12:15,12:15,广州东,12:15
C7163,动车,广州东,12:29,广州东,当天----,12:29,深圳,13:46
C7164,动车,深圳,14:04,广州东,当天15:27,15:27,广州东,15:27
C7165,动车,广州东,15:52,广州东,当天----,15:52,深圳,17:16
C7166,动车,深圳,17:36,广州东,当天18:59,18:59,广州东,18:59
C7167,动车,广州东,19:17,广州东,当天----,19:17,深圳,20:38
C7168,动车,深圳,20:52,广州东,当天22:11,22:11,广州东,22:11
C7170,动车,深圳,7:00,广州东,当天08:17,8:17,广州东,8:17
C7171,动车,广州东,8:45,广州东,当天----,8:45,深圳,10:08
C7172,动车,深圳,10:22,广州东,当天11:51,11:51,广州东,11:51
C7173,动车,广州东,12:20,广州东,当天----,12:20,深圳,13:38
C7174,动车,深圳,13:52,广州东,当天15:11,15:11,广州东,15:11
C7175,动车,广州东,15:29,广州东,当天----,15:29,深圳,16:52
C7176,动车,深圳,17:20,广州东,当天18:43,18:43,广州东,18:43
C7177,动车,广州东,18:58,广州东,当天----,18:58,深圳,20:16
C7178,动车,深圳,20:30,广州东,当天21:49,21:52,广州东,21:49
C7179,动车,广州东,22:26,广州东,当天22:24,22:26,深圳,23:45
C7180,动车,深圳,6:12,广州东,当天07:34,7:34,广州东,7:34
C7181,动车,广州东,7:57,广州东,当天----,7:57,深圳,9:17
C7182,动车,深圳,9:33,广州东,当天10:52,10:52,广州东,10:52
C7183,动车,广州东,11:20,广州东,当天----,11:20,深圳,12:42
C7184,动车,深圳,12:58,广州东,当天14:22,14:22,广州东,14:22
C7185,动车,广州东,14:56,广州东,当天----,14:56,深圳,16:15
C7186,动车,深圳,16:32,广州东,当天17:57,17:57,广州东,17:57
C7187,动车,广州东,18:22,广州东,当天----,18:22,深圳,19:41
C7188,动车,深圳,19:56,广州东,当天21:15,21:15,广州东,21:15
D2381,动车,广州东,12:38,广州东,当天----,12:38,厦门,17:42
D2383,动车,厦门,7:05,广州东,当天12:07,12:07,广州东,12:07
D7501,动车,广州东,9:21,广州东,当天----,9:21,梅州西,13:25
D7503,动车,梅州西,14:14,广州东,当天18:25,18:25,广州东,18:25
D7505,动车,广州东,16:45,广州东,当天----,16:45,梅州西,21:11
D7507,动车,梅州西,11:51,广州东,当天16:22,16:22,广州东,16:22
D7509,动车,广州东,14:32,广州东,当天----,14:32,汕头,18:08
D7510,动车,汕头,10:27,广州东,当天14:12,14:12,广州东,14:12
D7511,动车,汕头,10:27,广州东,当天14:12,14:12,广州东,14:12
D7513,动车,广州东,11:28,广州东,当天----,11:28,饶平,14:59
D7515,动车,饶平,13:59,广州东,当天17:39,17:39,广州东,17:39
D7517,动车,广州东,15:46,广州东,当天----,15:46,汕头,19:31
D7518,动车,汕头,11:33,广州东,当天15:19,15:19,广州东,15:19
D7519,动车,汕头,11:33,广州东,当天15:19,15:19,广州东,15:19
D7521,动车,广州东,19:44,广州东,当天----,19:44,汕头,23:13
D7522,动车,汕头,15:35,广州东,当天19:15,19:15,广州东,19:15
D7523,动车,汕头,15:35,广州东,当天19:15,19:15,广州东,19:15
D7525,动车,广州东,7:31,广州东,当天----,7:31,汕头,11:09
D7526,动车,汕头,18:39,广州东,当天22:19,22:19,广州东,22:19
D7527,动车,汕头,18:39,广州东,当天22:19,22:19,广州东,22:19
D7529,动车,广州东,18:01,广州东,当天----,18:01,潮汕,21:08
D7530,动车,汕头,7:24,广州东,当天11:00,11:00,广州东,11:00
D7531,动车,汕头,7:24,广州东,当天11:00,11:00,广州东,11:00
D7533,动车,广州东,12:11,广州东,当天----,12:11,汕头,16:06
D7534,动车,汕头,16:25,广州东,当天20:04,20:04,广州东,20:04
D7535,动车,汕头,16:25,广州东,当天20:04,20:04,广州东,20:04
D7537,动车,广州东,10:29,广州东,当天----,10:29,汕头,14:08
D7538,动车,汕头,14:28,广州东,当天18:11,18:11,广州东,18:11
D7539,动车,汕头,14:28,广州东,当天18:11,18:11,广州东,18:11
D7541,动车,广州东,20:23,广州东,当天----,20:23,潮汕,23:27
D7543,动车,梅州西,7:16,广州东,当天11:43,11:43,广州东,11:43
D7545,动车,广州东,18:41,广州东,当天----,18:41,梅州西,22:44
D7547,动车,潮汕,6:36,广州东,当天10:07,10:07,广州东,10:07
D9781,动车,广州东,6:08,广州东,当天----,6:08,汕头,9:50
D9782,动车,汕头,19:52,广州东,当天23:24,23:24,广州东,23:24
D9783,动车,汕头,19:52,广州东,当天23:24,23:24,广州东,23:24
K1665,快速,南昌,9:25,广州东,当天21:54,21:54,广州东,21:54
K1666,快速,广州东,23:08,广州东,当天----,23:08,南昌,13:19
K297,快速,广州东,20:26,广州东,当天20:26,20:26,厦门北,7:41
K298,快速,厦门北,18:29,广州东,第2日06:11,6:11,广州东,6:11
K299,快速,厦门北,18:29,广州东,第2日06:11,6:11,广州东,6:11
K4102,快速,广州东,23:14,广州东,当天----,23:14,武昌,12:58
K4104,快速,广州东,4:10,广州东,当天----,4:10,武昌,19:01
K4106,快速,广州东,15:06,广州东,当天----,15:06,汉口,8:28
K4108,快速,广州东,2:50,广州东,当天----,2:50,武昌,16:21
K4112,快速,广州东,20:25,广州东,当天----,20:25,汉口,12:44
K4181,快速,深圳东,9:50,广州东,当天11:15,11:25,成都,23:39
K4184,快速,深圳东,9:50,广州东,当天11:15,11:25,成都,23:39
K4211,快速,新乡,14:37,广州东,第2日14:55,14:55,广州东,14:55
K4212,快速,广州东,15:41,广州东,当天----,15:41,新乡,16:19
K4227,快速,广州东,0:14,广州东,当天----,0:14,南昌,14:27
K441,快速,南昌,14:48,广州东,第2日05:09,5:09,广州东,5:09
K442,快速,广州东,17:20,广州东,当天----,17:20,南昌,7:02
K4512,快速,广州东,23:54,广州东,当天----,23:54,重庆北,22:45
K4518,快速,广州东,11:08,广州东,当天----,11:08,重庆,17:10
K4582,快速,广州东,16:32,广州东,当天16:32,16:32,洛阳,21:55
K4586,快速,昆明,13:39,广州东,第2日00:06,0:06,广州东,0:06
K4588,快速,广州东,1:42,广州东,当天----,1:42,昆明,16:22
K4656,快速,深圳西,20:05,广州东,当天23:19,23:33,成都,12:13
K4806,快速,东莞东,23:08,广州东,第2日00:04,0:14,重庆,4:24
K6522,快速,广州东,6:50,广州东,当天06:50,6:50,南雄,10:42
K6566,快速,东莞,0:42,广州东,当天01:23,1:36,怀化,15:50
K6586,快速,广州东,2:00,广州东,当天----,2:00,常德,13:08
K6588,快速,广州东,17:02,广州东,当天----,17:02,常德,6:41
K6612,快速,广州东,9:30,广州东,当天----,9:30,岳阳,19:33
K675,快速,广州东,7:45,广州东,当天----,7:45,徐州,9:20
K677,快速,徐州,18:25,广州东,第2日20:37,20:37,广州东,20:37
K678,快速,广州东,7:45,广州东,当天07:45,7:45,徐州,9:20
K729,快速,广州东,14:48,广州东,当天14:48,14:48,大同,5:29
K730,快速,大同,14:20,广州东,第3日05:28,5:28,广州东,5:28
K731,快速,大同,14:20,广州东,第3日05:28,5:28,广州东,5:28
K732,快速,广州东,14:48,广州东,当天14:48,14:48,大同,5:29
K793,快速,上饶,16:35,广州东,第2日06:49,6:49,广州东,6:49
K795,快速,广州东,16:30,广州东,当天16:30,16:30,鹰潭,5:59
K9003,快速,岳阳,21:49,广州东,第2日08:10,8:31,深圳东,10:26
K9021,快速,广州东,21:40,广州东,当天----,21:40,汕头,6:00
K9022,快速,汕头,15:59,广州东,当天23:12,23:12,广州东,23:12
K9023,快速,汕头,22:40,广州东,第2日07:45,7:45,广州东,7:45
K931,快速,襄阳,11:55,广州东,第2日08:48,8:48,广州东,8:48
K932,快速,广州东,15:26,广州东,当天----,15:26,襄阳,9:55
K934,快速,襄阳,11:55,广州东,第2日08:48,8:48,广州东,8:48
K935,快速,襄阳,19:45,广州东,第2日13:14,13:14,广州东,13:14
K936,快速,广州东,13:15,广州东,当天----,13:15,襄阳,7:10
T155,特快,广州东,15:45,广州东,当天----,15:45,汉口,9:21
T156,特快,汉口,19:36,广州东,第2日14:02,14:02,广州东,14:02
T157,特快,汉口,19:36,广州东,第2日14:02,14:02,广州东,14:02
T158,特快,广州东,15:45,广州东,当天----,15:45,汉口,9:21
T171,特快,南昌,18:29,广州东,第2日06:59,6:59,广州东,6:59
T172,特快,广州东,18:52,广州东,当天----,18:52,南昌,6:41
T219,特快,广州东,11:12,广州东,当天----,11:12,合肥,5:35
T221,特快,合肥,14:00,广州东,第2日08:43,8:43,广州东,8:43
T222,特快,广州东,11:12,广州东,当天11:12,11:12,合肥,5:35
T3091,特快,广州东,7:12,广州东,当天----,7:12,合肥,6:25
T8365,特快,广州东,11:40,广州东,当天11:40,11:40,大埔,18:26
T8367,特快,大埔,22:28,广州东,第2日05:10,5:10,广州东,5:10
T8375,特快,南雄,13:28,广州东,当天17:28,17:28,广州东,17:28
T8376,特快,广州东,8:20,广州东,当天----,8:20,南雄,12:28
T8379,特快,广州东,6:52,广州东,当天06:52,6:52,大埔,14:20
T8381,特快,大埔,15:38,广州东,当天22:19,22:19,广州东,22:19
Z100,直特,香港红磡,15:15,广州东,当天17:16,18:16,上海,10:37
Z11,直特,广州东,17:13,广州东,当天----,17:13,沈阳北,22:37
Z12,直特,沈阳北,6:38,广州东,第2日13:45,13:45,广州东,13:45
Z13,直特,沈阳北,6:38,广州东,第2日13:45,13:45,广州东,13:45
Z14,直特,广州东,17:13,广州东,当天----,17:13,沈阳北,22:37
Z167,直特,青岛,14:03,广州东,第2日18:51,18:51,广州东,18:51
Z168,直特,广州东,22:56,广州东,当天----,22:56,青岛,5:22
Z169,直特,广州东,22:56,广州东,当天22:56,22:56,青岛,5:22
Z170,直特,青岛,14:03,广州东,第2日18:51,18:51,广州东,18:51
Z235,直特,哈尔滨西,21:39,广州东,第3日08:16,8:16,广州东,8:16
Z236,直特,广州东,19:58,广州东,当天----,19:58,哈尔滨西,6:49
Z237,直特,广州东,19:58,广州东,当天----,19:58,哈尔滨西,6:49
Z238,直特,哈尔滨西,21:39,广州东,第3日08:16,8:16,广州东,8:16
Z8001,直特,广州东,9:36,广州东,当天09:36,9:36,河源,12:10
Z8003,直特,河源,18:36,广州东,当天21:20,21:20,广州东,21:20
Z97,直特,北京西,12:40,广州东,第2日10:00,10:00,广州东,10:00
Z98,直特,广州东,18:10,广州东,当天----,18:10,北京西,15:30
Z99,直特,上海,17:45,广州东,第2日10:06,10:06,广州东,10:06
