车次,列车类型,始发站,始发时间,经过站,经过站,经过站,终点站,到达时间
,,,,,到达时间,发车时间,,
K4670,快速,上海南,1:36,上海南,当天----,1:36,南充北,13:22
K4671,快速,上海南,1:36,上海南,当天----,1:36,南充北,13:22
K4672,快速,南充北,9:31,上海南,第2日23:28,23:28,上海南,23:28
K469,快速,无锡,14:51,上海南,当天16:48,17:20,赣州,7:21
K47,快速,齐齐哈尔,16:15,上海南,第3日06:00,6:34,杭州,9:10
K470,快速,赣州,17:29,上海南,第2日09:29,9:52,无锡,12:22
K48,快速,杭州,13:37,上海南,当天16:13,16:34,齐齐哈尔,8:00
K49,快速,杭州,13:37,上海南,当天16:13,16:34,齐齐哈尔,8:00
K495,快速,上海南,19:03,上海南,当天----,19:03,贵阳,22:37
K496,快速,六盘水,10:47,上海南,第2日16:56,16:56,上海南,16:56
K50,快速,齐齐哈尔,16:15,上海南,第3日06:00,6:34,杭州,9:10
K511,快速,上海南,19:21,上海南,当天----,19:21,海口,6:00
K512,快速,海口,19:30,上海南,第3日08:49,8:49,上海南,8:49
K525,快速,南京,13:17,上海南,当天17:48,18:20,福州,9:08
K526,快速,福州,13:18,上海南,第2日03:58,4:14,南京,8:10
K527,快速,南京,14:38,上海南,当天18:48,19:15,广州,18:30
K528,快速,广州,7:52,上海南,第2日04:06,4:28,南京,8:16
K533,快速,上海南,11:33,上海南,当天----,11:33,怀化,7:52
K534,快速,怀化,13:55,上海南,第2日10:00,10:00,上海南,10:00
K575,快速,上海南,14:18,上海南,当天----,14:18,永州,9:30
K576,快速,永州,15:34,上海南,第2日11:18,11:18,上海南,11:18
K5832,快速,上海南,3:51,上海南,当天----,3:51,徐州,12:12
K71,快速,上海南,14:34,上海南,当天----,14:34,重庆北,15:58
K72,快速,重庆北,9:25,上海南,第2日12:15,12:15,上海南,12:15
K73,快速,重庆北,9:25,上海南,第2日12:15,12:15,上海南,12:15
K739,快速,上海南,19:36,上海南,当天----,19:36,昆明,8:23
K74,快速,上海南,14:34,上海南,当天----,14:34,重庆北,15:58
K740,快速,昆明,23:35,上海南,第3日14:33,14:33,上海南,14:33
K751,快速,上海南,7:31,上海南,当天----,7:31,信阳,23:39
K752,快速,信阳,13:30,上海南,第2日05:26,5:26,上海南,5:26
