车次,列车类型,始发站,始发时间,经过站,经过站,经过站,终点站,到达时间
,,,,,到达时间,发车时间,,
G1262,高速,齐齐哈尔南,9:20,郑州东,当天22:10,22:10,郑州东,22:10
G1263,高速,齐齐哈尔南,9:20,郑州东,当天22:10,22:10,郑州东,22:10
G1264,高速,郑州东,8:09,郑州东,当天08:09,8:09,齐齐哈尔南,20:53
G1271,高速,武汉,7:21,郑州东,当天09:39,9:42,沈阳南,19:25
G1272,高速,沈阳南,7:12,郑州东,当天17:03,17:07,武汉,19:20
G1273,高速,沈阳南,7:12,郑州东,当天17:03,17:07,武汉,19:20
G1274,高速,武汉,7:21,郑州东,当天09:39,9:42,沈阳南,19:25
G1275,高速,武汉,7:55,郑州东,当天10:22,10:28,哈尔滨西,20:28
G1276,高速,哈尔滨西,8:57,郑州东,当天19:32,19:35,武汉,21:49
G1277,高速,哈尔滨西,8:57,郑州东,当天19:32,19:35,武汉,21:49
G1278,高速,武汉,7:55,郑州东,当天10:22,10:28,哈尔滨西,20:28
G1281,高速,沈阳北,7:00,郑州东,当天15:14,15:17,重庆西,23:25
G1282,高速,重庆西,7:20,郑州东,当天15:10,15:34,沈阳北,23:13
G1283,高速,重庆西,7:20,郑州东,当天15:10,15:34,沈阳北,23:13
G1284,高速,沈阳北,7:00,郑州东,当天15:14,15:17,重庆西,23:25
G1285,高速,沈阳北,14:46,郑州东,当天22:49,22:49,郑州东,22:49
G1286,高速,郑州东,7:09,郑州东,当天----,7:09,沈阳北,14:19
G1287,高速,郑州东,7:09,郑州东,当天----,7:09,沈阳北,14:19
G1288,高速,沈阳北,14:46,郑州东,当天22:49,22:49,郑州东,22:49
G1289,高速,长春西,8:57,郑州东,当天18:20,18:23,长沙南,22:08
G1290,高速,长沙南,7:21,郑州东,当天11:19,11:22,长春西,20:57
G1291,高速,长沙南,7:21,郑州东,当天11:19,11:22,长春西,20:57
G1292,高速,长春西,8:57,郑州东,当天18:20,18:23,长沙南,22:08
G1293,高速,大连北,10:17,郑州东,当天18:50,18:54,西安北,21:11
G1294,高速,西安北,11:17,郑州东,当天13:36,13:45,大连北,22:25
G1295,高速,西安北,11:17,郑州东,当天13:36,13:45,大连北,22:25
G1296,高速,大连北,10:17,郑州东,当天18:50,18:54,西安北,21:11
G1535,高速,郑州东,8:30,郑州东,当天----,8:30,玉溪,19:30
G1536,高速,玉溪,10:50,郑州东,当天21:33,21:33,郑州东,21:33
G1537,高速,郑州东,10:38,郑州东,当天----,10:38,昆明南,21:02
G1538,高速,昆明南,8:46,郑州东,当天18:48,18:48,郑州东,18:48
