,车次,等级,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终到站,到达时间,duration,arrival
148,C7168,动车,深圳,20:52,广州东,当天22:11,22:11,广州东,22:11,79,1331
149,C7170,动车,深圳,7:00,广州东,当天08:17,8:17,广州东,8:17,77,497
151,C7172,动车,深圳,10:22,广州东,当天11:51,11:51,广州东,11:51,89,711
153,C7174,动车,深圳,13:52,广州东,当天15:11,15:11,广州东,15:11,79,911
155,C7176,动车,深圳,17:20,广州东,当天18:43,18:43,广州东,18:43,83,1123
157,C7178,动车,深圳,20:30,广州东,当天21:49,21:52,广州东,21:49,79,1309
159,C7180,动车,深圳,6:12,广州东,当天07:34,7:34,广州东,7:34,82,454
161,C7182,动车,深圳,9:33,广州东,当天10:52,10:52,广州东,10:52,79,652
163,C7184,动车,深圳,12:58,广州东,当天14:22,14:22,广州东,14:22,84,862
165,C7186,动车,深圳,16:32,广州东,当天17:57,17:57,广州东,17:57,85,1077
167,C7188,动车,深圳,19:56,广州东,当天21:15,21:15,广州东,21:15,79,1275
169,D2383,动车,厦门,7:05,广州东,当天12:07,12:07,广州东,12:07,302,727
171,D7503,动车,梅州西,14:14,广州东,当天18:25,18:25,广州东,18:25,251,1105
173,D7507,动车,梅州西,11:51,广州东,当天16:22,16:22,广州东,16:22,271,982
175,D7510,动车,汕头,10:27,广州东,当天14:12,14:12,广州东,14:12,225,852
176,D7511,动车,汕头,10:27,广州东,当天14:12,14:12,广州东,14:12,225,852
178,D7515,动车,饶平,13:59,广州东,当天17:39,17:39,广州东,17:39,220,1059
180,D7518,动车,汕头,11:33,广州东,当天15:19,15:19,广州东,15:19,226,919
181,D7519,动车,汕头,11:33,广州东,当天15:19,15:19,广州东,15:19,226,919
183,D7522,动车,汕头,15:35,广州东,当天19:15,19:15,广州东,19:15,220,1155
184,D7523,动车,汕头,15:35,广州东,当天19:15,19:15,广州东,19:15,220,1155
186,D7526,动车,汕头,18:39,广州东,当天22:19,22:19,广州东,22:19,220,1339
187,D7527,动车,汕头,18:39,广州东,当天22:19,22:19,广州东,22:19,220,1339
189,D7530,动车,汕头,7:24,广州东,当天11:00,11:00,广州东,11:00,216,660
190,D7531,动车,汕头,7:24,广州东,当天11:00,11:00,广州东,11:00,216,660
192,D7534,动车,汕头,16:25,广州东,当天20:04,20:04,广州东,20:04,219,1204
193,D7535,动车,汕头,16:25,广州东,当天20:04,20:04,广州东,20:04,219,1204
195,D7538,动车,汕头,14:28,广州东,当天18:11,18:11,广州东,18:11,223,1091
196,D7539,动车,汕头,14:28,广州东,当天18:11,18:11,广州东,18:11,223,1091
198,D7543,动车,梅州西,7:16,广州东,当天11:43,11:43,广州东,11:43,267,703
200,D7547,动车,潮汕,6:36,广州东,当天10:07,10:07,广州东,10:07,211,607
202,D9782,动车,汕头,19:52,广州东,当天23:24,23:24,广州东,23:24,212,1404
203,D9783,动车,汕头,19:52,广州东,当天23:24,23:24,广州东,23:24,212,1404
204,K1665,快速,南昌,9:25,广州东,当天21:54,21:54,广州东,21:54,749,1314
207,K298,快速,厦门北,18:29,广州东,第2日06:11,6:11,广州东,6:11,2142,371
208,K299,快速,厦门北,18:29,广州东,第2日06:11,6:11,广州东,6:11,2142,371
216,K4211,快速,新乡,14:37,广州东,第2日14:55,14:55,广州东,14:55,2898,895
219,K441,快速,南昌,14:48,广州东,第2日05:09,5:09,广州东,5:09,2301,309
224,K4586,快速,昆明,13:39,广州东,第2日00:06,0:06,广州东,0:06,2067,6
234,K677,快速,徐州,18:25,广州东,第2日20:37,20:37,广州东,20:37,3012,1237
237,K730,快速,大同,14:20,广州东,第3日05:28,5:28,广州东,5:28,3788,328
238,K731,快速,大同,14:20,广州东,第3日05:28,5:28,广州东,5:28,3788,328
240,K793,快速,上饶,16:35,广州东,第2日06:49,6:49,广州东,6:49,2294,409
244,K9022,快速,汕头,15:59,广州东,当天23:12,23:12,广州东,23:12,433,1392
245,K9023,快速,汕头,22:40,广州东,第2日07:45,7:45,广州东,7:45,1985,465
246,K931,快速,襄阳,11:55,广州东,第2日08:48,8:48,广州东,8:48,2693,528
