,车次,等级,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终到站,到达时间,duration,arrival
322,G1656,高速,厦门北,14:10,上海虹桥,当天20:38,20:38,上海虹桥,20:38,388,1238
324,G1658,高速,厦门北,16:17,上海虹桥,当天22:48,22:48,上海虹桥,22:48,391,1368
326,G1660,高速,厦门北,17:07,上海虹桥,当天23:26,23:26,上海虹桥,23:26,379,1406
328,G1674,高速,厦门北,10:11,上海虹桥,当天18:05,18:05,上海虹桥,18:05,474,1085
330,G169,高速,北京南,16:40,上海虹桥,当天22:35,22:35,上海虹桥,22:35,355,1355
331,G1690,高速,武夷山东,7:44,上海虹桥,当天11:23,11:23,上海虹桥,11:23,219,683
332,G17,高速,北京南,19:00,上海虹桥,当天23:18,23:18,上海虹桥,23:18,258,1398
334,G1715,高速,驻马店西,7:54,上海虹桥,当天13:23,13:23,上海虹桥,13:23,329,803
337,G1718,高速,驻马店西,7:54,上海虹桥,当天13:23,13:23,上海虹桥,13:23,329,803
338,G1719,高速,武汉,8:00,上海虹桥,当天11:53,11:53,上海虹桥,11:53,233,713
341,G1722,高速,武汉,8:00,上海虹桥,当天11:53,11:53,上海虹桥,11:53,233,713
342,G1723,高速,汉口,16:15,上海虹桥,当天20:13,20:13,上海虹桥,20:13,238,1213
345,G1726,高速,汉口,16:15,上海虹桥,当天20:13,20:13,上海虹桥,20:13,238,1213
346,G1727,高速,大冶北,9:48,上海虹桥,当天15:27,15:27,上海虹桥,15:27,339,927
349,G1730,高速,大冶北,9:48,上海虹桥,当天15:27,15:27,上海虹桥,15:27,339,927
350,G1735,高速,武汉,8:25,上海虹桥,当天13:17,13:17,上海虹桥,13:17,292,797
353,G1738,高速,武汉,8:25,上海虹桥,当天13:17,13:17,上海虹桥,13:17,292,797
354,G1763,高速,武汉,7:27,上海虹桥,当天12:13,12:13,上海虹桥,12:13,286,733
357,G1766,高速,武汉,7:27,上海虹桥,当天12:13,12:13,上海虹桥,12:13,286,733
358,G1767,高速,汉口,10:19,上海虹桥,当天15:07,15:07,上海虹桥,15:07,288,907
361,G1770,高速,汉口,10:19,上海虹桥,当天15:07,15:07,上海虹桥,15:07,288,907
362,G1771,高速,长沙南,13:32,上海虹桥,当天19:39,19:39,上海虹桥,19:39,367,1179
365,G1774,高速,长沙南,13:32,上海虹桥,当天19:39,19:39,上海虹桥,19:39,367,1179
366,G1775,高速,长沙南,7:15,上海虹桥,当天14:37,14:37,上海虹桥,14:37,442,877
369,G1778,高速,长沙南,7:15,上海虹桥,当天14:37,14:37,上海虹桥,14:37,442,877
370,G1801,高速,郑州东,7:40,上海虹桥,当天13:03,13:03,上海虹桥,13:03,323,783
373,G1804,高速,郑州东,7:40,上海虹桥,当天13:03,13:03,上海虹桥,13:03,323,783
374,G1805,高速,许昌东,7:53,上海虹桥,当天13:50,13:50,上海虹桥,13:50,357,830
376,G1808,高速,许昌东,7:53,上海虹桥,当天13:50,13:50,上海虹桥,13:50,357,830
377,G1809,高速,洛阳龙门,8:07,上海虹桥,当天14:07,14:07,上海虹桥,14:07,360,847
380,G1812,高速,洛阳龙门,8:07,上海虹桥,当天14:07,14:07,上海虹桥,14:07,360,847
381,G1813,高速,安阳东,9:05,上海虹桥,当天15:23,15:23,上海虹桥,15:23,378,923
383,G1816,高速,安阳东,9:05,上海虹桥,当天15:23,15:23,上海虹桥,15:23,378,923
384,G1817,高速,郑州东,13:25,上海虹桥,当天18:12,18:12,上海虹桥,18:12,287,1092
387,G1820,高速,郑州东,13:25,上海虹桥,当天18:12,18:12,上海虹桥,18:12,287,1092
388,G1821,高速,焦作,12:50,上海虹桥,当天18:50,18:50,上海虹桥,18:50,360,1130
391,G1824,高速,焦作,12:50,上海虹桥,当天18:50,18:50,上海虹桥,18:50,360,1130
392,G1825,高速,郑州东,14:15,上海虹桥,当天19:09,19:09,上海虹桥,19:09,294,1149
395,G1828,高速,郑州东,14:15,上海虹桥,当天19:09,19:09,上海虹桥,19:09,294,1149
400,G1911,高速,西安北,6:26,上海虹桥,当天13:41,13:41,上海虹桥,13:41,435,821
401,G1914,高速,西安北,6:26,上海虹桥,当天13:41,13:41,上海虹桥,13:41,435,821
402,G1915,高速,西安北,9:23,上海虹桥,当天16:45,16:45,上海虹桥,16:45,442,1005
403,G1918,高速,西安北,9:23,上海虹桥,当天16:45,16:45,上海虹桥,16:45,442,1005
404,G1919,高速,西安北,10:23,上海虹桥,当天17:40,17:40,上海虹桥,17:40,437,1060
407,G1922,高速,西安北,10:23,上海虹桥,当天17:40,17:40,上海虹桥,17:40,437,1060
408,G1923,高速,西安北,12:23,上海虹桥,当天19:47,19:47,上海虹桥,19:47,444,1187
411,G1926,高速,西安北,12:23,上海虹桥,当天19:47,19:47,上海虹桥,19:47,444,1187
416,G1935,高速,西安北,15:12,上海虹桥,当天21:46,21:46,上海虹桥,21:46,394,1306
419,G1938,高速,西安北,15:12,上海虹桥,当天21:46,21:46,上海虹桥,21:46,394,1306
420,G1939,高速,西安北,15:50,上海虹桥,当天23:23,23:23,上海虹桥,23:23,453,1403
423,G1942,高速,西安北,15:50,上海虹桥,当天23:23,23:23,上海虹桥,23:23,453,1403
428,G1955,高速,太原南,8:49,上海虹桥,当天17:45,17:45,上海虹桥,17:45,536,1065
431,G1958,高速,太原南,8:49,上海虹桥,当天17:45,17:45,上海虹桥,17:45,536,1065
432,G1969,高速,兰州西,10:38,上海虹桥,当天21:26,21:26,上海虹桥,21:26,648,1286
435,G1972,高速,兰州西,10:38,上海虹桥,当天21:26,21:26,上海虹桥,21:26,648,1286
436,G1973,高速,重庆西,9:12,上海虹桥,当天22:25,22:25,上海虹桥,22:25,793,1345
439,G1976,高速,重庆西,9:12,上海虹桥,当天22:25,22:25,上海虹桥,22:25,793,1345
441,G211,高速,天津西,9:28,上海虹桥,当天14:41,14:41,上海虹桥,14:41,313,881
443,G213,高速,天津西,10:42,上海虹桥,当天16:17,16:17,上海虹桥,16:17,335,977
445,G215,高速,天津西,14:46,上海虹桥,当天20:23,20:23,上海虹桥,20:23,337,1223
448,G2190,高速,成都东,9:30,上海虹桥,当天22:20,22:20,上海虹桥,22:20,770,1340
449,G2191,高速,成都东,9:30,上海虹桥,当天22:20,22:20,上海虹桥,22:20,770,1340
452,G2194,高速,成都东,6:13,上海虹桥,当天19:18,19:18,上海虹桥,19:18,785,1158
453,G2195,高速,成都东,6:13,上海虹桥,当天19:18,19:18,上海虹桥,19:18,785,1158
456,G221,高速,青岛,7:00,上海虹桥,当天13:58,13:58,上海虹桥,13:58,418,838
457,G224,高速,青岛,7:00,上海虹桥,当天13:58,13:58,上海虹桥,13:58,418,838
458,G225,高速,青岛北,13:56,上海虹桥,当天21:04,21:04,上海虹桥,21:04,428,1264
461,G228,高速,青岛北,13:56,上海虹桥,当天21:04,21:04,上海虹桥,21:04,428,1264
462,G229,高速,青岛,9:07,上海虹桥,当天16:11,16:11,上海虹桥,16:11,424,971
465,G232,高速,青岛,9:07,上海虹桥,当天16:11,16:11,上海虹桥,16:11,424,971
469,G2366,高速,邵阳,15:39,上海虹桥,当天22:55,22:55,上海虹桥,22:55,436,1375
470,G2661,高速,济南西,6:35,上海虹桥,当天11:22,11:22,上海虹桥,11:22,287,682
472,G2663,高速,青岛北,10:30,上海虹桥,当天17:49,17:49,上海虹桥,17:49,439,1069
475,G2666,高速,青岛北,10:30,上海虹桥,当天17:49,17:49,上海虹桥,17:49,439,1069
476,G2811,高速,石家庄,8:36,上海虹桥,当天15:47,15:47,上海虹桥,15:47,431,947
479,G2814,高速,石家庄,8:36,上海虹桥,当天15:47,15:47,上海虹桥,15:47,431,947
480,G297,高速,济南东,6:50,上海虹桥,当天11:40,11:40,上海虹桥,11:40,290,700
482,G3,高速,北京南,14:00,上海虹桥,当天18:28,18:28,上海虹桥,18:28,268,1108
483,G300,高速,济南东,6:50,上海虹桥,当天11:40,11:40,上海虹桥,11:40,290,700
484,G3151,高速,西安北,8:41,上海虹桥,当天17:53,17:53,上海虹桥,17:53,552,1073
487,G3154,高速,西安北,8:41,上海虹桥,当天17:53,17:53,上海虹桥,17:53,552,1073
488,G3163,高速,兰州西,7:58,上海虹桥,当天20:15,20:15,上海虹桥,20:15,737,1215
491,G3166,高速,兰州西,7:58,上海虹桥,当天20:15,20:15,上海虹桥,20:15,737,1215
492,G3175,高速,西安北,13:11,上海虹桥,当天22:29,22:29,上海虹桥,22:29,558,1349
495,G3178,高速,西安北,13:11,上海虹桥,当天22:29,22:29,上海虹桥,22:29,558,1349
496,G3179,高速,兰州西,11:05,上海虹桥,当天22:43,22:43,上海虹桥,22:43,698,1363
499,G3182,高速,兰州西,11:05,上海虹桥,当天22:43,22:43,上海虹桥,22:43,698,1363
500,G3229,高速,十堰东,15:05,上海虹桥,当天22:43,22:43,上海虹桥,22:43,458,1363
503,G3232,高速,十堰东,15:05,上海虹桥,当天22:43,22:43,上海虹桥,22:43,458,1363
504,G3251,高速,南阳东,9:20,上海虹桥,当天17:33,17:33,上海虹桥,17:33,493,1053
507,G3254,高速,南阳东,9:20,上海虹桥,当天17:33,17:33,上海虹桥,17:33,493,1053
508,G359,高速,西安北,8:48,上海虹桥,当天14:45,14:45,上海虹桥,14:45,357,885
511,G362,高速,西安北,8:48,上海虹桥,当天14:45,14:45,上海虹桥,14:45,357,885
512,G367,高速,郑州,7:33,上海虹桥,当天12:02,12:02,上海虹桥,12:02,269,722
514,G370,高速,郑州,7:33,上海虹桥,当天12:02,12:02,上海虹桥,12:02,269,722
516,G4054,高速,西安北,20:46,上海虹桥,第2日03:12,3:12,上海虹桥,3:12,1826,192
517,G4055,高速,西安北,17:16,上海虹桥,当天01:36,1:36,上海虹桥,1:36,500,96
518,G4058,高速,西安北,17:16,上海虹桥,当天01:36,1:36,上海虹桥,1:36,500,96
521,G4082,高速,郑州东,23:28,上海虹桥,第2日03:23,3:23,上海虹桥,3:23,1675,203
522,G4091,高速,郑州东,19:46,上海虹桥,第2日01:23,1:23,上海虹桥,1:23,1777,83
523,G4094,高速,郑州东,19:46,上海虹桥,第2日01:23,1:23,上海虹桥,1:23,1777,83
525,G4109,高速,郑州东,20:22,上海虹桥,第2日00:48,0:48,上海虹桥,0:48,1706,48
526,G411,高速,北京南,11:20,上海虹桥,当天17:25,17:25,上海虹桥,17:25,365,1045
527,G4112,高速,郑州东,20:22,上海虹桥,第2日00:48,0:48,上海虹桥,0:48,1706,48
529,G4195,高速,西安北,16:32,上海虹桥,当天23:58,23:58,上海虹桥,23:58,446,1438
532,G4198,高速,西安北,16:32,上海虹桥,当天23:58,23:58,上海虹桥,23:58,446,1438
538,G4281,高速,太原南,16:59,上海虹桥,当天00:15,0:15,上海虹桥,0:15,436,15
540,G4284,高速,太原南,16:59,上海虹桥,当天00:15,0:15,上海虹桥,0:15,436,15
543,G4329,高速,郑州东,21:11,上海虹桥,第2日01:15,1:15,上海虹桥,1:15,1684,75
544,G4332,高速,郑州东,21:11,上海虹桥,第2日01:15,1:15,上海虹桥,1:15,1684,75
547,G4524,高速,福州南,20:54,上海虹桥,第2日01:12,1:12,上海虹桥,1:12,1698,72
548,G4526,高速,福州,22:00,上海虹桥,第2日01:51,1:51,上海虹桥,1:51,1671,111
550,G455,高速,荣成,13:15,上海虹桥,当天22:21,22:21,上海虹桥,22:21,546,1341
553,G4572,高速,萍乡北,18:59,上海虹桥,当天00:18,0:18,上海虹桥,0:18,319,18
554,G458,高速,荣成,13:15,上海虹桥,当天22:21,22:21,上海虹桥,22:21,546,1341
555,G4589,高速,武汉,18:55,上海虹桥,当天23:49,23:49,上海虹桥,23:49,294,1429
556,G459,高速,烟台,9:08,上海虹桥,当天17:16,17:16,上海虹桥,17:16,488,1036
559,G4592,高速,武汉,18:55,上海虹桥,当天23:49,23:49,上海虹桥,23:49,294,1429
561,G4602,高速,长沙南,19:40,上海虹桥,第2日00:39,0:39,上海虹桥,0:39,1739,39
564,G462,高速,烟台,9:08,上海虹桥,当天17:16,17:16,上海虹桥,17:16,488,1036
565,G4710,高速,西安北,20:41,上海虹桥,第2日03:05,3:05,上海虹桥,3:05,1824,185
567,G4733,高速,郑州东,21:25,上海虹桥,第2日01:31,1:31,上海虹桥,1:31,1686,91
568,G4736,高速,郑州东,21:25,上海虹桥,第2日01:31,1:31,上海虹桥,1:31,1686,91
570,G4762,高速,萍乡北,11:58,上海虹桥,当天17:21,17:21,上海虹桥,17:21,323,1041
572,G4766,高速,南昌西,6:59,上海虹桥,当天11:23,11:23,上海虹桥,11:23,264,683
573,G4823,高速,武汉,20:14,上海虹桥,当天00:20,0:20,上海虹桥,0:20,246,20
574,G4826,高速,武汉,20:14,上海虹桥,当天00:20,0:20,上海虹桥,0:20,246,20
575,G4830,高速,武汉,21:25,上海虹桥,第2日01:10,1:10,上海虹桥,1:10,1665,70
577,G4832,高速,贵阳北,14:20,上海虹桥,当天23:39,23:39,上海虹桥,23:39,559,1419
579,G4834,高速,贵阳北,14:45,上海虹桥,当天00:02,0:02,上海虹桥,0:02,557,2
582,G4914,高速,贵阳北,23:00,上海虹桥,第2日07:33,7:33,上海虹桥,7:33,1953,453
584,G4918,高速,南昌西,19:51,上海虹桥,当天23:56,23:56,上海虹桥,23:56,245,1436
585,G4928,高速,怀化南,20:40,上海虹桥,第2日02:49,2:49,上海虹桥,2:49,1809,169
587,G4938,高速,长沙南,19:52,上海虹桥,第2日00:45,0:45,上海虹桥,0:45,1733,45
588,G4967,高速,西安北,17:54,上海虹桥,第2日02:14,2:14,上海虹桥,2:14,1940,134
589,G4970,高速,西安北,17:54,上海虹桥,第2日02:14,2:14,上海虹桥,2:14,1940,134
