,车次,等级,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终到站,到达时间,duration,arrival
304,K4054,快速,上海,3:31,郑州,当天18:29,18:29,郑州,18:29,898,1109
305,K4055,快速,上海,3:31,郑州,当天18:29,18:29,郑州,18:29,898,1109
312,K4162,快速,杭州,17:39,郑州,第2日09:03,9:03,郑州,9:03,2364,543
313,K4163,快速,杭州,17:39,郑州,第2日09:03,9:03,郑州,9:03,2364,543
316,K4168,快速,上海,1:45,郑州,当天16:18,16:18,郑州,16:18,873,978
317,K4169,快速,上海,1:45,郑州,当天16:18,16:18,郑州,16:18,873,978
326,K4362,快速,杭州,6:16,郑州,当天00:30,0:30,郑州,0:30,1094,30
327,K4363,快速,杭州,6:16,郑州,当天00:30,0:30,郑州,0:30,1094,30
329,K4426,快速,深圳,1:30,郑州,第2日02:04,2:04,郑州,2:04,2914,124
331,K458,快速,海口,13:56,郑州,第2日23:15,23:15,郑州,23:15,3439,1395
352,K4868,快速,周口,14:00,郑州,当天17:00,17:00,郑州,17:00,180,1020
359,K5377,快速,安阳,20:00,郑州,当天23:28,23:28,郑州,23:28,208,1408
384,K715,快速,大连,13:36,郑州,第2日13:30,13:30,郑州,13:30,2874,810
387,K718,快速,大连,13:36,郑州,第2日13:30,13:30,郑州,13:30,2874,810
392,K741,快速,厦门北,19:38,郑州,第2日17:33,17:33,郑州,17:33,2755,1053
395,K744,快速,厦门北,19:38,郑州,第2日17:33,17:33,郑州,17:33,2755,1053
396,K7959,快速,安阳,8:43,郑州,当天11:08,11:08,郑州,11:08,145,668
398,K7966,快速,濮阳,15:48,郑州,当天19:54,19:54,郑州,19:54,246,1194
399,K7967,快速,濮阳,15:48,郑州,当天19:54,19:54,郑州,19:54,246,1194
401,K7993,快速,新乡,12:50,郑州,当天13:51,13:51,郑州,13:51,61,831
404,K8003,快速,商丘,19:52,郑州,当天23:24,23:24,郑州,23:24,212,1404
408,K8035,快速,新乡,19:15,郑州,当天20:13,20:13,郑州,20:13,58,1213
418,K925,快速,海拉尔,21:34,郑州,第3日13:56,13:56,郑州,13:56,3862,836
421,K928,快速,海拉尔,21:34,郑州,第3日13:56,13:56,郑州,13:56,3862,836
450,T198,特快,乌鲁木齐,18:40,郑州,第3日07:05,7:05,郑州,7:05,3625,425
462,T326,特快,宁波,14:10,郑州,第2日06:00,6:00,郑州,6:00,2390,360
463,T327,特快,宁波,14:10,郑州,第2日06:00,6:00,郑州,6:00,2390,360
472,T6552,特快,邓州,17:03,郑州,当天22:15,22:15,郑州,22:15,312,1335
485,Z145,直特,深圳东,18:22,郑州,第2日13:19,13:19,郑州,13:19,2577,799
488,Z148,直特,深圳东,18:22,郑州,第2日13:19,13:19,郑州,13:19,2577,799
502,Z190,直特,广州,15:50,郑州,第2日07:56,7:56,郑州,7:56,2406,476
553,Z4190,直特,广州,10:55,郑州,第2日08:12,8:12,郑州,8:12,2717,492
