车次,等级,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终到站,到达时间,duration,arrival,train
K7966,快速,濮阳,15:48,郑州,当天19:54,19:54,郑州,19:54,246,1194,
K7967,快速,濮阳,15:48,郑州,当天19:54,19:54,郑州,19:54,246,1194,
K7993,快速,新乡,12:50,郑州,当天13:51,13:51,郑州,13:51,61,831,
K8003,快速,商丘,19:52,郑州,当天23:24,23:24,郑州,23:24,212,1404,
K8035,快速,新乡,19:15,郑州,当天20:13,20:13,郑州,20:13,58,1213,
K925,快速,海拉尔,21:34,郑州,第3日13:56,13:56,郑州,13:56,3862,836,
K928,快速,海拉尔,21:34,郑州,第3日13:56,13:56,郑州,13:56,3862,836,
T198,特快,乌鲁木齐,18:40,郑州,第3日07:05,7:05,郑州,7:05,3625,425,
T326,特快,宁波,14:10,郑州,第2日06:00,6:00,郑州,6:00,2390,360,
T327,特快,宁波,14:10,郑州,第2日06:00,6:00,郑州,6:00,2390,360,
T6552,特快,邓州,17:03,郑州,当天22:15,22:15,郑州,22:15,312,1335,
Z145,直特,深圳东,18:22,郑州,第2日13:19,13:19,郑州,13:19,2577,799,
Z148,直特,深圳东,18:22,郑州,第2日13:19,13:19,郑州,13:19,2577,799,
Z190,直特,广州,15:50,郑州,第2日07:56,7:56,郑州,7:56,2406,476,
Z4190,直特,广州,10:55,郑州,第2日08:12,8:12,郑州,8:12,2717,492,
