车次,等级,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终到站,到达时间,duration,arrival,train
G1774,高速,长沙南,13:32,上海虹桥,当天19:39,19:39,上海虹桥,19:39,367,1179,
G1775,高速,长沙南,7:15,上海虹桥,当天14:37,14:37,上海虹桥,14:37,442,877,
G1778,高速,长沙南,7:15,上海虹桥,当天14:37,14:37,上海虹桥,14:37,442,877,
G1801,高速,郑州东,7:40,上海虹桥,当天13:03,13:03,上海虹桥,13:03,323,783,
G1804,高速,郑州东,7:40,上海虹桥,当天13:03,13:03,上海虹桥,13:03,323,783,
G1805,高速,许昌东,7:53,上海虹桥,当天13:50,13:50,上海虹桥,13:50,357,830,
G1808,高速,许昌东,7:53,上海虹桥,当天13:50,13:50,上海虹桥,13:50,357,830,
G1809,高速,洛阳龙门,8:07,上海虹桥,当天14:07,14:07,上海虹桥,14:07,360,847,
G1812,高速,洛阳龙门,8:07,上海虹桥,当天14:07,14:07,上海虹桥,14:07,360,847,
G1813,高速,安阳东,9:05,上海虹桥,当天15:23,15:23,上海虹桥,15:23,378,923,
G1816,高速,安阳东,9:05,上海虹桥,当天15:23,15:23,上海虹桥,15:23,378,923,
G1817,高速,郑州东,13:25,上海虹桥,当天18:12,18:12,上海虹桥,18:12,287,1092,
G1820,高速,郑州东,13:25,上海虹桥,当天18:12,18:12,上海虹桥,18:12,287,1092,
G1821,高速,焦作,12:50,上海虹桥,当天18:50,18:50,上海虹桥,18:50,360,1130,
G1824,高速,焦作,12:50,上海虹桥,当天18:50,18:50,上海虹桥,18:50,360,1130,
G1825,高速,郑州东,14:15,上海虹桥,当天19:09,19:09,上海虹桥,19:09,294,1149,
G1828,高速,郑州东,14:15,上海虹桥,当天19:09,19:09,上海虹桥,19:09,294,1149,
G1911,高速,西安北,6:26,上海虹桥,当天13:41,13:41,上海虹桥,13:41,435,821,
G1914,高速,西安北,6:26,上海虹桥,当天13:41,13:41,上海虹桥,13:41,435,821,
G1915,高速,西安北,9:23,上海虹桥,当天16:45,16:45,上海虹桥,16:45,442,1005,
G1918,高速,西安北,9:23,上海虹桥,当天16:45,16:45,上海虹桥,16:45,442,1005,
G1919,高速,西安北,10:23,上海虹桥,当天17:40,17:40,上海虹桥,17:40,437,1060,
G1922,高速,西安北,10:23,上海虹桥,当天17:40,17:40,上海虹桥,17:40,437,1060,
G1923,高速,西安北,12:23,上海虹桥,当天19:47,19:47,上海虹桥,19:47,444,1187,
G1926,高速,西安北,12:23,上海虹桥,当天19:47,19:47,上海虹桥,19:47,444,1187,
G1935,高速,西安北,15:12,上海虹桥,当天21:46,21:46,上海虹桥,21:46,394,1306,
G1938,高速,西安北,15:12,上海虹桥,当天21:46,21:46,上海虹桥,21:46,394,1306,
G1939,高速,西安北,15:50,上海虹桥,当天23:23,23:23,上海虹桥,23:23,453,1403,
G1942,高速,西安北,15:50,上海虹桥,当天23:23,23:23,上海虹桥,23:23,453,1403,
G1955,高速,太原南,8:49,上海虹桥,当天17:45,17:45,上海虹桥,17:45,536,1065,CR400BFA3096
G1958,高速,太原南,8:49,上海虹桥,当天17:45,17:45,上海虹桥,17:45,536,1065,
G1969,高速,兰州西,10:38,上海虹桥,当天21:26,21:26,上海虹桥,21:26,648,1286,
G1972,高速,兰州西,10:38,上海虹桥,当天21:26,21:26,上海虹桥,21:26,648,1286,
G1973,高速,重庆西,9:12,上海虹桥,当天22:25,22:25,上海虹桥,22:25,793,1345,
G1976,高速,重庆西,9:12,上海虹桥,当天22:25,22:25,上海虹桥,22:25,793,1345,
G211,高速,天津西,9:28,上海虹桥,当天14:41,14:41,上海虹桥,14:41,313,881,
G213,高速,天津西,10:42,上海虹桥,当天16:17,16:17,上海虹桥,16:17,335,977,
G215,高速,天津西,14:46,上海虹桥,当天20:23,20:23,上海虹桥,20:23,337,1223,
G2190,高速,成都东,9:30,上海虹桥,当天22:20,22:20,上海虹桥,22:20,770,1340,
G2191,高速,成都东,9:30,上海虹桥,当天22:20,22:20,上海虹桥,22:20,770,1340,
G2194,高速,成都东,6:13,上海虹桥,当天19:18,19:18,上海虹桥,19:18,785,1158,
G2195,高速,成都东,6:13,上海虹桥,当天19:18,19:18,上海虹桥,19:18,785,1158,
G221,高速,青岛,7:00,上海虹桥,当天13:58,13:58,上海虹桥,13:58,418,838,
G224,高速,青岛,7:00,上海虹桥,当天13:58,13:58,上海虹桥,13:58,418,838,
G225,高速,青岛北,13:56,上海虹桥,当天21:04,21:04,上海虹桥,21:04,428,1264,
G228,高速,青岛北,13:56,上海虹桥,当天21:04,21:04,上海虹桥,21:04,428,1264,
G229,高速,青岛,9:07,上海虹桥,当天16:11,16:11,上海虹桥,16:11,424,971,
G232,高速,青岛,9:07,上海虹桥,当天16:11,16:11,上海虹桥,16:11,424,971,
G2366,高速,邵阳,15:39,上海虹桥,当天22:55,22:55,上海虹桥,22:55,436,1375,
G2661,高速,济南西,6:35,上海虹桥,当天11:22,11:22,上海虹桥,11:22,287,682,
G2663,高速,青岛北,10:30,上海虹桥,当天17:49,17:49,上海虹桥,17:49,439,1069,
G2666,高速,青岛北,10:30,上海虹桥,当天17:49,17:49,上海虹桥,17:49,439,1069,
G2811,高速,石家庄,8:36,上海虹桥,当天15:47,15:47,上海虹桥,15:47,431,947,CRH380AL2569
G2814,高速,石家庄,8:36,上海虹桥,当天15:47,15:47,上海虹桥,15:47,431,947,
G297,高速,济南东,6:50,上海虹桥,当天11:40,11:40,上海虹桥,11:40,290,700,
G3,高速,北京南,14:00,上海虹桥,当天18:28,18:28,上海虹桥,18:28,268,1108,
G300,高速,济南东,6:50,上海虹桥,当天11:40,11:40,上海虹桥,11:40,290,700,
G3151,高速,西安北,8:41,上海虹桥,当天17:53,17:53,上海虹桥,17:53,552,1073,
G3154,高速,西安北,8:41,上海虹桥,当天17:53,17:53,上海虹桥,17:53,552,1073,
G3163,高速,兰州西,7:58,上海虹桥,当天20:15,20:15,上海虹桥,20:15,737,1215,
G3166,高速,兰州西,7:58,上海虹桥,当天20:15,20:15,上海虹桥,20:15,737,1215,
G3175,高速,西安北,13:11,上海虹桥,当天22:29,22:29,上海虹桥,22:29,558,1349,
G3178,高速,西安北,13:11,上海虹桥,当天22:29,22:29,上海虹桥,22:29,558,1349,
G3179,高速,兰州西,11:05,上海虹桥,当天22:43,22:43,上海虹桥,22:43,698,1363,
G3182,高速,兰州西,11:05,上海虹桥,当天22:43,22:43,上海虹桥,22:43,698,1363,
G3229,高速,十堰东,15:05,上海虹桥,当天22:43,22:43,上海虹桥,22:43,458,1363,
G3232,高速,十堰东,15:05,上海虹桥,当天22:43,22:43,上海虹桥,22:43,458,1363,
G3251,高速,南阳东,9:20,上海虹桥,当天17:33,17:33,上海虹桥,17:33,493,1053,
G3254,高速,南阳东,9:20,上海虹桥,当天17:33,17:33,上海虹桥,17:33,493,1053,
G359,高速,西安北,8:48,上海虹桥,当天14:45,14:45,上海虹桥,14:45,357,885,
G362,高速,西安北,8:48,上海虹桥,当天14:45,14:45,上海虹桥,14:45,357,885,
G367,高速,郑州,7:33,上海虹桥,当天12:02,12:02,上海虹桥,12:02,269,722,
G370,高速,郑州,7:33,上海虹桥,当天12:02,12:02,上海虹桥,12:02,269,722,
G4054,高速,西安北,20:46,上海虹桥,第2日03:12,3:12,上海虹桥,3:12,1826,192,
G4055,高速,西安北,17:16,上海虹桥,当天01:36,1:36,上海虹桥,1:36,500,96,
G4058,高速,西安北,17:16,上海虹桥,当天01:36,1:36,上海虹桥,1:36,500,96,
G4082,高速,郑州东,23:28,上海虹桥,第2日03:23,3:23,上海虹桥,3:23,1675,203,
G4091,高速,郑州东,19:46,上海虹桥,第2日01:23,1:23,上海虹桥,1:23,1777,83,
G4094,高速,郑州东,19:46,上海虹桥,第2日01:23,1:23,上海虹桥,1:23,1777,83,
G4109,高速,郑州东,20:22,上海虹桥,第2日00:48,0:48,上海虹桥,0:48,1706,48,
G411,高速,北京南,11:20,上海虹桥,当天17:25,17:25,上海虹桥,17:25,365,1045,
G4112,高速,郑州东,20:22,上海虹桥,第2日00:48,0:48,上海虹桥,0:48,1706,48,
