车次,等级,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终到站,到达时间,duration,arrival,train
G5614,高速,香港西九龙,21:32,深圳北,当天21:56,21:56,深圳北,21:56,24,1316,
G5620,高速,香港西九龙,13:37,深圳北,当天13:55,13:55,深圳北,13:55,18,835,
G5622,高速,香港西九龙,15:04,深圳北,当天15:22,15:22,深圳北,15:22,18,922,
G5624,高速,香港西九龙,7:03,深圳北,当天07:21,7:21,深圳北,7:21,18,441,
G5626,高速,香港西九龙,8:20,深圳北,当天08:39,8:39,深圳北,8:39,19,519,
G5628,高速,香港西九龙,9:43,深圳北,当天10:01,10:01,深圳北,10:01,18,601,
G5630,高速,香港西九龙,11:02,深圳北,当天11:20,11:20,深圳北,11:20,18,680,
G5632,高速,香港西九龙,12:15,深圳北,当天12:33,12:33,深圳北,12:33,18,753,
G5634,高速,香港西九龙,15:58,深圳北,当天16:16,16:16,深圳北,16:16,18,976,
G5636,高速,香港西九龙,7:37,深圳北,当天07:55,7:55,深圳北,7:55,18,475,
G5638,高速,香港西九龙,9:01,深圳北,当天09:20,9:20,深圳北,9:20,19,560,
G5640,高速,香港西九龙,10:15,深圳北,当天10:34,10:34,深圳北,10:34,19,634,
G5642,高速,香港西九龙,11:30,深圳北,当天11:48,11:48,深圳北,11:48,18,708,
G5644,高速,香港西九龙,12:41,深圳北,当天13:00,13:00,深圳北,13:00,19,780,
G5646,高速,香港西九龙,13:59,深圳北,当天14:17,14:17,深圳北,14:17,18,857,
G5648,高速,香港西九龙,16:29,深圳北,当天16:48,16:48,深圳北,16:48,19,1008,
G5650,高速,香港西九龙,17:47,深圳北,当天18:05,18:05,深圳北,18:05,18,1085,
G5652,高速,香港西九龙,19:10,深圳北,当天19:28,19:28,深圳北,19:28,18,1168,
G5654,高速,香港西九龙,20:33,深圳北,当天20:51,20:51,深圳北,20:51,18,1251,
G6001,高速,长沙南,14:55,深圳北,当天17:50,17:50,深圳北,17:50,175,1070,CR400AFA2098
G6011,高速,长沙南,7:00,深圳北,当天10:35,10:35,深圳北,10:35,215,635,CR400AFA2099
G6013,高速,长沙南,7:28,深圳北,当天10:46,10:46,深圳北,10:46,198,646,CR400AFA2098
G6015,高速,长沙南,7:55,深圳北,当天11:29,11:29,深圳北,11:29,214,689,CR400AFA2074
G6017,高速,长沙南,10:04,深圳北,当天13:41,13:41,深圳北,13:41,217,821,CRH380B3621
G6019,高速,长沙南,10:56,深圳北,当天14:13,14:13,深圳北,14:13,197,853,CR400AF@417
G6021,高速,长沙南,10:09,深圳北,当天13:45,13:45,深圳北,13:45,216,825,CRH3C3040
G6023,高速,长沙南,9:02,深圳北,当天12:19,12:19,深圳北,12:19,197,739,CR400AF0207
G6025,高速,长沙南,18:28,深圳北,当天21:45,21:45,深圳北,21:45,197,1305,CR400AF2055
G6029,高速,长沙南,8:08,深圳北,当天11:38,11:38,深圳北,11:38,210,698,CR400AF2043
G6033,高速,岳阳东,16:47,深圳北,当天21:10,21:10,深圳北,21:10,263,1270,CR400AF2026
G6035,高速,衡阳东,7:00,深圳北,当天10:06,10:06,深圳北,10:06,186,606,CR400AF1012
G6075,高速,永州,10:48,深圳北,当天14:55,14:55,深圳北,14:55,247,895,CRH1AA1217
G6078,高速,永州,10:48,深圳北,当天14:55,14:55,深圳北,14:55,247,895,CRH1AA1217
G6141,高速,怀化南,18:27,深圳北,当天23:39,23:39,深圳北,23:39,312,1419,CR400AF2022
G6145,高速,怀化南,8:52,深圳北,当天14:08,14:08,深圳北,14:08,316,848,CR400AF
G6148,高速,怀化南,8:52,深圳北,当天14:08,14:08,深圳北,14:08,316,848,CR400AF
G6153,高速,邵阳,9:15,深圳北,当天13:23,13:23,深圳北,13:23,248,803,CRH380B3748
G6159,高速,怀化南,10:18,深圳北,当天15:46,15:46,深圳北,15:46,328,946,CRH380B@023
G6162,高速,怀化南,10:18,深圳北,当天15:46,15:46,深圳北,15:46,328,946,CRH380B@023
G6173,高速,怀化南,16:50,深圳北,当天22:19,22:19,深圳北,22:19,329,1339,CR400AF1023
G6181,高速,邵阳,14:56,深圳北,当天20:19,20:19,深圳北,20:19,323,1219,CR400AFA1005
G6184,高速,邵阳,14:56,深圳北,当天20:19,20:19,深圳北,20:19,323,1219,CR400AFA1005
G6201,高速,广州南,19:54,深圳北,当天20:30,20:30,深圳北,20:30,36,1230,CR400BFA3056
G6203,高速,广州南,7:12,深圳北,当天07:56,7:56,深圳北,7:56,44,476,CR400AFA2066
G6205,高速,广州南,21:05,深圳北,当天21:34,21:34,深圳北,21:34,29,1294,CR400AF2038
G6207,高速,广州南,7:35,深圳北,当天08:12,8:12,深圳北,8:12,37,492,CR400AF2038
G6209,高速,广州南,8:00,深圳北,当天08:38,8:38,深圳北,8:38,38,518,CR400AFA1003
G6211,高速,广州南,8:13,深圳北,当天08:57,8:57,深圳北,8:57,44,537,CR400AF@417
G6213,高速,广州南,19:19,深圳北,当天19:57,19:57,深圳北,19:57,38,1197,CR400AFA2096
G6217,高速,佛山西,14:24,深圳北,当天15:25,15:25,深圳北,15:25,61,925,CR400AFA2078
G6219,高速,广州北,12:32,深圳北,当天13:28,13:28,深圳北,13:28,56,808,CR400AF@442
G6221,高速,广州南,22:25,深圳北,当天23:01,23:01,深圳北,23:01,36,1381,CR400AFA2076
G6223,高速,广州南,10:42,深圳北,当天11:12,11:12,深圳北,11:12,30,672,CR400AFA2066
G6225,高速,广州南,11:47,深圳北,当天12:24,12:24,深圳北,12:24,37,744,CR400AF2043
G6229,高速,广州南,21:47,深圳北,当天22:24,22:24,深圳北,22:24,37,1344,CR400AFA2067
G6231,高速,广州南,23:18,深圳北,当天23:48,23:48,深圳北,23:48,30,1428,CR400AF2038
G6237,高速,广州南,18:13,深圳北,当天18:50,18:50,深圳北,18:50,37,1130,CR8+8-761776@454
G6241,高速,广州南,15:46,深圳北,当天16:50,16:50,深圳北,16:50,64,1010,CR400AF1006
G6243,高速,广州北,19:49,深圳北,当天20:52,20:52,深圳北,20:52,63,1252,CR400AFA2076
G6251,高速,广州南,15:41,深圳北,当天16:19,16:19,深圳北,16:19,38,979,CR8+8-755242@434
G6253,高速,广州北,7:23,深圳北,当天08:26,8:26,深圳北,8:26,63,506,CRH1A@363
G633,高速,九江,9:28,深圳北,当天16:07,16:07,深圳北,16:07,399,967,
G637,高速,南昌西,7:41,深圳北,当天13:13,13:13,深圳北,13:13,332,793,CRH380A2518
G73,高速,安阳东,9:45,深圳北,当天17:44,17:44,深圳北,17:44,479,1064,CR400AFA2078
G77,高速,武汉,9:00,深圳北,当天13:18,13:18,深圳北,13:18,258,798,CR400AFA2190
G817,高速,西安北,9:35,深圳北,当天19:25,19:25,深圳北,19:25,590,1165,CRH3C@087
G820,高速,西安北,9:35,深圳北,当天19:25,19:25,深圳北,19:25,590,1165,CRH3C@087
G821,高速,西安北,11:01,深圳北,当天20:40,20:40,深圳北,20:40,579,1240,
G824,高速,西安北,11:01,深圳北,当天20:40,20:40,深圳北,20:40,579,1240,
G825,高速,西安北,12:33,深圳北,当天22:34,22:34,深圳北,22:34,601,1354,
G828,高速,西安北,12:33,深圳北,当天22:34,22:34,深圳北,22:34,601,1354,
G839,高速,西安北,13:22,深圳北,当天22:44,22:44,深圳北,22:44,562,1364,CR400BFA5063
G842,高速,西安北,13:22,深圳北,当天22:44,22:44,深圳北,22:44,562,1364,CR400AF@417
G8905,高速,衡阳东,6:37,深圳北,当天09:18,9:18,深圳北,9:18,161,558,
G8909,高速,广州南,8:41,深圳北,当天09:29,9:29,深圳北,9:29,48,569,
G9534,高速,湛江西,21:18,深圳北,第2日00:49,0:49,深圳北,0:49,1651,49,
G9716,高速,香港西九龙,8:55,深圳北,当天09:14,9:14,深圳北,9:14,19,554,CR400AF1023
