车次,等级,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终到站,到达时间,duration,arrival,train
K448,快速,西安,23:18,深圳,第3日04:37,4:37,深圳,4:37,3199,277,
K485,快速,成都东,12:37,深圳,第2日19:56,19:56,深圳,19:56,3319,1196,
K488,快速,成都东,12:37,深圳,第2日19:56,19:56,深圳,19:56,3319,1196,
K535,快速,洛阳,16:52,深圳,第2日17:42,17:42,深圳,17:42,2930,1062,
K538,快速,洛阳,16:52,深圳,第2日17:42,17:42,深圳,17:42,2930,1062,
K9017,快速,长沙,23:39,深圳,第2日09:55,9:55,深圳,9:55,2056,595,
K9075,快速,常德,21:36,深圳,第2日10:28,10:28,深圳,10:28,2212,628,
K9121,快速,衡阳,14:00,深圳,当天22:26,22:26,深圳,22:26,506,1346,
K950,快速,金城江,15:48,深圳,第2日09:45,9:45,深圳,9:45,2517,585,
K951,快速,金城江,15:48,深圳,第2日09:45,9:45,深圳,9:45,2517,585,
T101,特快,上海南,13:20,深圳,第2日07:50,7:50,深圳,7:50,2550,470,
T211,特快,上海南,11:41,深圳,第2日06:16,6:16,深圳,6:16,2555,376,
T396,特快,青岛,16:58,深圳,第2日20:45,20:45,深圳,20:45,3107,1245,
T397,特快,青岛,16:58,深圳,第2日20:45,20:45,深圳,20:45,3107,1245,
T8369,特快,大埔,7:18,深圳,当天13:46,13:46,深圳,13:46,388,826,
T95,特快,武昌,19:06,深圳,第2日08:46,8:46,深圳,8:46,2260,526,
Z185,直特,沈阳北,17:46,深圳,第3日04:28,4:28,深圳,4:28,3522,268,
Z188,直特,沈阳北,17:46,深圳,第3日04:28,4:28,深圳,4:28,3522,268,
Z229,直特,乌鲁木齐,18:00,深圳,第3日19:14,19:14,深圳,19:14,4394,1154,
Z23,直特,武昌,19:30,深圳,第2日08:12,8:12,深圳,8:12,2202,492,
Z232,直特,乌鲁木齐,18:00,深圳,第3日19:14,19:14,深圳,19:14,4394,1154,
Z8005,直特,河源,12:40,深圳,当天15:05,15:05,深圳,15:05,145,905,
