车次,等级,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终到站,到达时间,duration,arrival,train
D9783,动车,汕头,19:52,广州东,当天23:24,23:24,广州东,23:24,212,1404,CRH1A1013
K1665,快速,南昌,9:25,广州东,当天21:54,21:54,广州东,21:54,749,1314,
K298,快速,厦门北,18:29,广州东,第2日06:11,6:11,广州东,6:11,2142,371,
K299,快速,厦门北,18:29,广州东,第2日06:11,6:11,广州东,6:11,2142,371,
K4211,快速,新乡,14:37,广州东,第2日14:55,14:55,广州东,14:55,2898,895,
K441,快速,南昌,14:48,广州东,第2日05:09,5:09,广州东,5:09,2301,309,
K4586,快速,昆明,13:39,广州东,第2日00:06,0:06,广州东,0:06,2067,6,
K677,快速,徐州,18:25,广州东,第2日20:37,20:37,广州东,20:37,3012,1237,
K730,快速,大同,14:20,广州东,第3日05:28,5:28,广州东,5:28,3788,328,
K731,快速,大同,14:20,广州东,第3日05:28,5:28,广州东,5:28,3788,328,
K793,快速,上饶,16:35,广州东,第2日06:49,6:49,广州东,6:49,2294,409,
K9022,快速,汕头,15:59,广州东,当天23:12,23:12,广州东,23:12,433,1392,
K9023,快速,汕头,22:40,广州东,第2日07:45,7:45,广州东,7:45,1985,465,
K931,快速,襄阳,11:55,广州东,第2日08:48,8:48,广州东,8:48,2693,528,
K934,快速,襄阳,11:55,广州东,第2日08:48,8:48,广州东,8:48,2693,528,
K935,快速,襄阳,19:45,广州东,第2日13:14,13:14,广州东,13:14,2489,794,
T156,特快,汉口,19:36,广州东,第2日14:02,14:02,广州东,14:02,2546,842,
T157,特快,汉口,19:36,广州东,第2日14:02,14:02,广州东,14:02,2546,842,
T171,特快,南昌,18:29,广州东,第2日06:59,6:59,广州东,6:59,2190,419,
T221,特快,合肥,14:00,广州东,第2日08:43,8:43,广州东,8:43,2563,523,
T8367,特快,大埔,22:28,广州东,第2日05:10,5:10,广州东,5:10,1842,310,
T8375,特快,南雄,13:28,广州东,当天17:28,17:28,广州东,17:28,240,1048,
T8381,特快,大埔,15:38,广州东,当天22:19,22:19,广州东,22:19,401,1339,
Z12,直特,沈阳北,6:38,广州东,第2日13:45,13:45,广州东,13:45,3307,825,
Z13,直特,沈阳北,6:38,广州东,第2日13:45,13:45,广州东,13:45,3307,825,
Z167,直特,青岛,14:03,广州东,第2日18:51,18:51,广州东,18:51,3168,1131,
Z170,直特,青岛,14:03,广州东,第2日18:51,18:51,广州东,18:51,3168,1131,
Z235,直特,哈尔滨西,21:39,广州东,第3日08:16,8:16,广州东,8:16,3517,496,
Z238,直特,哈尔滨西,21:39,广州东,第3日08:16,8:16,广州东,8:16,3517,496,
Z8003,直特,河源,18:36,广州东,当天21:20,21:20,广州东,21:20,164,1280,
Z97,直特,北京西,12:40,广州东,第2日10:00,10:00,广州东,10:00,2720,600,
Z99,直特,上海,17:45,广州东,第2日10:06,10:06,广州东,10:06,2421,606,
