,Duration,LOS Duration,编组大小,公交分担,安检模式,编组大小x公交分担
5,43.983739837398375,6.926829268292683,非城际列车,2035年,安检互认,非城际列车 2035年
6,43.75609756097561,6.544715447154472,非城际列车,2035年,安检互认,非城际列车 2035年
7,44.965811965811966,6.205128205128205,非城际列车,2035年,安检互认,非城际列车 2035年
8,44.24752475247525,6.524752475247524,非城际列车,2035年,安检互认,非城际列车 2035年
9,44.44736842105263,6.456140350877193,非城际列车,2035年,安检互认,非城际列车 2035年
10,45.572916666666664,6.416666666666667,非城际列车,2035年,安检互认,非城际列车 2035年
0,45.773109243697476,5.142857142857143,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
1,45.81553398058252,4.961165048543689,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
2,46.39473684210526,4.921052631578948,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
3,47.22222222222222,4.972222222222222,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
4,47.443396226415096,4.650943396226415,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
5,46.352,5.296,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
6,45.82786885245902,4.950819672131147,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
7,46.84347826086957,5.052173913043478,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
8,46.94,5.07,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
9,46.41525423728814,4.584745762711864,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
10,47.3936170212766,5.170212765957447,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
0,174.50710900473933,117.9478672985782,城际列车,2045年,传统安检,城际列车 2045年
1,189.70292887029288,134.03765690376568,城际列车,2045年,传统安检,城际列车 2045年
2,172.44907407407408,112.17129629629629,城际列车,2045年,传统安检,城际列车 2045年
3,186.48660714285714,127.78571428571429,城际列车,2045年,传统安检,城际列车 2045年
4,161.40721649484536,100.70103092783505,城际列车,2045年,传统安检,城际列车 2045年
5,172.5175879396985,115.38190954773869,城际列车,2045年,传统安检,城际列车 2045年
6,182.88738738738738,124.43693693693693,城际列车,2045年,传统安检,城际列车 2045年
7,174.3252427184466,116.02912621359224,城际列车,2045年,传统安检,城际列车 2045年
8,189.15765765765767,131.981981981982,城际列车,2045年,传统安检,城际列车 2045年
9,181.0648148148148,121.35185185185185,城际列车,2045年,传统安检,城际列车 2045年
10,170.10945273631842,111.62189054726367,城际列车,2045年,传统安检,城际列车 2045年
11,196.35245901639345,139.70491803278688,城际列车,2045年,传统安检,城际列车 2045年
12,166.56585365853658,107.44878048780488,城际列车,2045年,传统安检,城际列车 2045年
13,176.1605504587156,118.79357798165138,城际列车,2045年,传统安检,城际列车 2045年
14,181.7601809954751,124.50678733031674,城际列车,2045年,传统安检,城际列车 2045年
15,184.76339285714286,126.65625,城际列车,2045年,传统安检,城际列车 2045年
0,46.81042654028436,17.744075829383885,城际列车,2045年,安检互认,城际列车 2045年
1,46.86610878661088,17.673640167364017,城际列车,2045年,安检互认,城际列车 2045年
2,45.601851851851855,15.583333333333334,城际列车,2045年,安检互认,城际列车 2045年
3,47.450892857142854,17.714285714285715,城际列车,2045年,安检互认,城际列车 2045年
4,43.44845360824742,14.355670103092784,城际列车,2045年,安检互认,城际列车 2045年
5,46.07035175879397,17.809045226130653,城际列车,2045年,安检互认,城际列车 2045年
6,46.972972972972975,18.31981981981982,城际列车,2045年,安检互认,城际列车 2045年
7,46.383495145631066,17.611650485436893,城际列车,2045年,安检互认,城际列车 2045年
8,46.57657657657658,17.07207207207207,城际列车,2045年,安检互认,城际列车 2045年
9,46.25,17.0,城际列车,2045年,安检互认,城际列车 2045年
10,44.646766169154226,16.149253731343283,城际列车,2045年,安检互认,城际列车 2045年
11,47.028688524590166,18.44672131147541,城际列车,2045年,安检互认,城际列车 2045年
12,45.27317073170732,16.258536585365853,城际列车,2045年,安检互认,城际列车 2045年
13,46.43577981651376,16.954128440366972,城际列车,2045年,安检互认,城际列车 2045年
14,45.98190045248869,17.990950226244344,城际列车,2045年,安检互认,城际列车 2045年
15,46.67857142857143,16.995535714285715,城际列车,2045年,安检互认,城际列车 2045年
0,50.83574879227053,21.579710144927535,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
1,50.16101694915254,20.9364406779661,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
2,49.65727699530517,18.901408450704224,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
3,51.50909090909091,21.44090909090909,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
4,48.9119170984456,19.93782383419689,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
5,50.15151515151515,22.232323232323232,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
6,49.81981981981982,20.954954954954953,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
7,50.166666666666664,20.598039215686274,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
8,50.19634703196347,21.59360730593607,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
9,50.15492957746479,20.582159624413144,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
10,47.92039800995025,18.46268656716418,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
11,51.609053497942384,22.991769547325102,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
12,48.89,18.945,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
13,49.69585253456221,19.617511520737327,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
14,49.516129032258064,21.327188940092167,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
15,51.414414414414416,21.833333333333332,城际列车,2045年,人脸识别+安检互认,城际列车 2045年
0,150.4746835443038,71.64873417721519,非城际列车,2045年,传统安检,非城际列车 2045年
1,136.49404761904762,56.17857142857143,非城际列车,2045年,传统安检,非城际列车 2045年
2,142.19774011299435,60.516949152542374,非城际列车,2045年,传统安检,非城际列车 2045年
3,126.73333333333333,45.834782608695654,非城际列车,2045年,传统安检,非城际列车 2045年
4,141.89117647058825,62.588235294117645,非城际列车,2045年,传统安检,非城际列车 2045年
5,131.51226158038148,50.76566757493188,非城际列车,2045年,传统安检,非城际列车 2045年
6,135.33136094674558,54.467455621301774,非城际列车,2045年,传统安检,非城际列车 2045年
7,140.16526610644257,60.38375350140056,非城际列车,2045年,传统安检,非城际列车 2045年
8,134.8765060240964,52.045180722891565,非城际列车,2045年,传统安检,非城际列车 2045年
9,127.48680351906158,43.67741935483871,非城际列车,2045年,传统安检,非城际列车 2045年
10,137.52409638554218,55.72289156626506,非城际列车,2045年,传统安检,非城际列车 2045年
0,45.67398119122257,7.075235109717869,非城际列车,2045年,安检互认,非城际列车 2045年
1,45.124242424242425,6.921212121212121,非城际列车,2045年,安检互认,非城际列车 2045年
2,46.55096418732782,7.308539944903581,非城际列车,2045年,安检互认,非城际列车 2045年
3,46.111111111111114,6.756756756756757,非城际列车,2045年,安检互认,非城际列车 2045年
4,45.6551724137931,7.17816091954023,非城际列车,2045年,安检互认,非城际列车 2045年
5,45.755494505494504,6.989010989010989,非城际列车,2045年,安检互认,非城际列车 2045年
6,45.97935103244838,6.982300884955753,非城际列车,2045年,安检互认,非城际列车 2045年
7,46.07282913165266,7.140056022408964,非城际列车,2045年,安检互认,非城际列车 2045年
8,45.981651376146786,7.174311926605505,非城际列车,2045年,安检互认,非城际列车 2045年
9,46.36887608069164,6.8328530259366,非城际列车,2045年,安检互认,非城际列车 2045年
10,45.955089820359284,7.080838323353293,非城际列车,2045年,安检互认,非城际列车 2045年
0,47.57361963190184,6.085889570552148,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年
1,48.25748502994012,6.592814371257485,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年
2,48.700280112044815,6.0,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年
3,48.10060975609756,5.7073170731707314,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年
4,47.505780346820806,6.069364161849711,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年
5,47.84153005464481,5.759562841530054,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年
6,48.18529411764706,5.844117647058823,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年
7,48.15229885057471,6.204022988505747,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年
8,48.46951219512195,6.060975609756097,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年
9,47.768545994065285,5.4094955489614245,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年
10,48.07058823529412,5.905882352941177,非城际列车,2045年,人脸识别+安检互认,非城际列车 2045年
