,Duration,LOS Duration,编组大小,公交分担,安检模式,编组大小x公交分担
6,55.15004336513443,14.924544666088465,非城际列车,2035年,安检互认,非城际列车 2035年
7,56.978222996515676,13.79006968641115,非城际列车,2035年,安检互认,非城际列车 2035年
8,56.12894961571307,14.950469684030743,非城际列车,2035年,安检互认,非城际列车 2035年
9,57.83727034120735,13.024496937882764,非城际列车,2035年,安检互认,非城际列车 2035年
10,57.10371650821089,13.509939498703543,非城际列车,2035年,安检互认,非城际列车 2035年
0,40.46422182468694,0.7531305903398927,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
1,38.93436960276338,0.9421416234887737,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
2,39.66695352839931,0.9165232358003442,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
3,41.663469921534436,0.9363557105492589,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
4,40.50132860938884,0.8963684676705048,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
5,41.80546075085324,0.7935153583617748,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
6,36.829268292682926,0.7613240418118467,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
7,39.324890829694326,0.7633187772925765,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
8,37.64560204953032,0.8189581554227157,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
9,40.561144839549,0.8681699913269731,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
10,40.27186147186147,0.9515151515151515,非城际列车,2035年,人脸识别+安检互认,非城际列车 2035年
