max_pop,max_time,avg_dsr_spd,ATR,rep_num,avg_a_spd,MDB,cong_time,cong_ratio,MRD,avg_spd_ratio,id,max_pop2,avg_duration,MFR,MET
167.5,181.75,1.445440863310185,2.372842331037593,12,0.6495122467668845,1.501009642081882,103.75,0.06373146937153332,106.91666666666667,0.4720973523502034,0.0,159.85752688172042,101.26481481481481,185.75,256.1666666666667
176.66666666666666,169.33333333333334,1.4433635070601847,2.499492892779701,12,0.6178559629548559,1.5880912716442024,114.08333333333333,0.09684245638210269,121.83333333333333,0.4635797841992899,1.0,169.13172043010752,110.92951388888889,170.0,276.6666666666667
168.0,177.8181818181818,1.5637162804671723,2.685764283770647,11,0.612603654504078,1.5062024148802886,97.63636363636364,0.08480851400320022,120.0,0.4569746881629463,2.0,160.41055718475076,110.11982323232323,173.63636363636363,270.45454545454544
174.0,166.7,1.2672927677777774,2.119289756920858,10,0.6379750648816715,1.571225200666364,115.5,0.11457803631580674,120.2,0.4984400364937313,3.0,167.33548387096772,108.30430555555556,172.5,276.9
185.44444444444446,178.11111111111111,1.3475584558641966,2.3364539436180043,9,0.6181762748644107,1.6657075066888787,117.0,0.0741354213528794,116.11111111111111,0.474998796629922,4.0,177.3978494623656,109.10432098765433,175.11111111111111,272.1111111111111
166.72727272727272,173.27272727272728,1.316324343434343,2.1673417357672005,11,0.6491055553514191,1.4931504963308688,104.45454545454545,0.09704327555390412,114.27272727272727,0.4991934220209513,5.0,159.02052785923755,104.51047979797978,176.45454545454547,268.27272727272725
159.22222222222223,180.88888888888889,1.4490239560185183,2.38691675827526,9,0.6403050048763029,1.4160903293115925,92.77777777777777,0.07689459624356253,113.66666666666667,0.47605956720989856,6.0,150.81362007168457,105.6283950617284,178.77777777777777,266.55555555555554
170.42857142857142,180.0,1.4578969570833336,2.4779623217087274,7,0.6256539138983319,1.5429782999069686,107.28571428571429,0.06918895514682212,112.71428571428571,0.46852827552202964,7.0,164.32718894009216,106.81607142857142,177.28571428571428,267.42857142857144
169.83333333333334,190.25,1.456420037384259,2.584006635182392,12,0.5918459464924596,1.5223888131657326,102.83333333333333,0.07500170628653341,122.25,0.46809746438660493,8.0,162.13440860215053,115.00231481481482,175.25,279.8333333333333
174.4,187.0,1.4293710731944445,2.4575432197413014,10,0.6147771420827319,1.5741026805997276,105.7,0.0641903325593918,121.1,0.4743677824692528,9.0,167.64193548387095,112.26152777777779,171.7,278.0
175.8181818181818,188.0,1.574530133194444,2.729925596275889,11,0.6098996651131735,1.5890573155452756,113.72727272727273,0.06018896693923577,121.63636363636364,0.4433714518610744,10.0,169.23460410557183,111.69469696969696,166.1818181818182,275.27272727272725
166.11111111111111,179.22222222222223,1.402099251851852,2.30317371954569,9,0.6470623114201692,1.4958183990442053,97.88888888888889,0.07874558140253447,105.33333333333333,0.48276682390591064,11.0,159.30465949820785,101.22175925925927,189.22222222222223,256.3333333333333
191.5,176.0,1.2966275759259258,2.3329808500624516,6,0.5924254331755675,1.736382452420617,136.33333333333334,0.06787911287160238,125.66666666666667,0.4620192101935121,12.0,184.92473118279568,116.8162037037037,162.33333333333334,289.5
182.0,184.25,1.4206942819444446,2.5785552715890514,8,0.584736737522856,1.6419430561865818,115.75,0.07373293568352336,125.375,0.4641847810206544,13.0,174.86693548387092,116.81840277777778,168.75,284.125
197.2,189.4,1.4647474340000002,2.762046079674183,10,0.5668210310369883,1.7964561562925945,131.6,0.05536513278852724,130.9,0.44658669956059543,14.0,191.3225806451613,123.62791666666666,157.1,294.8
159.15384615384616,191.30769230769232,1.550297928205128,2.5882292944201,13,0.6312281334123772,1.4323093232679787,89.23076923076923,0.06310806752941077,117.15384615384616,0.4596569955200197,15.0,152.5409429280397,107.69070512820511,173.76923076923077,269.38461538461536
184.71428571428572,179.42857142857142,1.433732988373016,2.642180801390644,14,0.5754792444523332,1.6596135955518054,123.57142857142857,0.08594757365781976,129.92857142857142,0.45867307648372335,16.0,176.74884792626725,121.00783730158732,163.42857142857142,291.92857142857144
151.85714285714286,174.21428571428572,1.387903163988095,2.214712035695218,14,0.669324414317959,1.3612210899807449,86.64285714285714,0.09703178945908118,110.92857142857143,0.4972591354117194,17.0,144.97004608294932,100.77063492063492,183.85714285714286,262.35714285714283
169.625,168.875,1.3692877213541668,2.380178882936562,8,0.611512141000165,1.52241405421778,103.5,0.13313432610366693,117.625,0.48395835219728944,18.0,162.13709677419354,111.41250000000001,177.0,272.5
189.0,183.75,1.4618754739583333,2.663490797930692,12,0.5819694313678297,1.7147761118683427,125.91666666666667,0.0611309986305179,125.58333333333333,0.45045079651806746,19.0,182.6236559139785,117.67349537037036,163.08333333333334,285.0833333333333
179.42857142857142,181.42857142857142,1.3812327374801587,2.4552876305431015,7,0.5985268094340574,1.6222063564180782,118.71428571428571,0.0865015350858263,128.85714285714286,0.4704326796709136,20.0,172.76497695852532,116.82936507936506,167.57142857142858,287.2857142857143
167.71428571428572,177.42857142857142,1.3846163310912696,2.2526593835342004,7,0.6569708753868836,1.4956837800999545,100.85714285714286,0.06844519233050049,110.0,0.4880519518262313,21.0,159.29032258064515,102.06448412698413,185.0,260.0
189.0,176.0,1.3787566182870374,2.467611128913616,6,0.5920841219642997,1.6933716997324446,114.66666666666667,0.08255275322058724,119.66666666666667,0.46972166889408307,22.0,180.34408602150538,114.72708333333334,169.83333333333334,279.6666666666667
