avg_dsr_spd,max_pop,ATR,MDB,avg_duration,rep_num,max_pop2,cong_ratio,id,max_time,MRD,cong_time,MET,avg_spd_ratio,avg_a_spd,MFR
1.3972844651234562,96.44444444444444,1.99668415085714,0.8490416813906135,87.18364197530865,9,90.42293906810036,0.1764105316091593,0.0,187.22222222222223,114.0,0.0,259.3333333333333,0.5361282349389876,0.724099914675171,171.88888888888889
1.4866447810763885,171.25,2.5809336902369138,1.544260184764501,112.11996527777777,8,164.46370967741933,0.09583803556767727,1.0,187.125,129.875,122.0,293.875,0.44922260139513204,0.6192057818965451,160.25
1.3788024560714283,163.28571428571428,2.434403327233876,1.4774236818762037,114.44464285714287,7,157.3456221198157,0.09536775903806409,2.0,204.14285714285714,142.42857142857142,119.0,310.42857142857144,0.47169364259090024,0.6036182873543536,148.14285714285714
1.3696349326388888,90.1,1.9436614995263342,0.7704679691049522,85.71138888888888,10,82.05483870967743,0.2022355826076722,3.0,185.0,113.4,0.0,255.4,0.5468862254148987,0.7262095249413674,174.6
1.3942504006313128,189.0,2.6483027231402256,1.7174011812812358,126.35391414141412,11,182.90322580645162,0.10253741916057005,4.0,188.9090909090909,147.72727272727272,138.8181818181818,319.6363636363636,0.4492957860139013,0.5620812857471454,143.54545454545453
1.4197696200757572,210.45454545454547,2.7027288701666303,1.903239574298184,127.22222222222223,11,202.69501466275662,0.05346585266363244,5.0,182.36363636363637,138.9090909090909,143.8181818181818,303.72727272727275,0.43648232061484044,0.5616869454887777,152.27272727272728
1.5543528833928577,213.0,2.8630583805606156,1.9339694078449192,121.23511904761904,7,205.9677419354839,0.06387325725639588,6.0,163.71428571428572,127.42857142857143,130.42857142857142,287.57142857142856,0.4273388186063952,0.5902204634412672,171.57142857142858
1.379296107828283,187.45454545454547,2.6239399532763255,1.7035782633238339,126.77436868686868,11,181.4310850439883,0.09667840016512631,7.0,209.36363636363637,155.63636363636363,144.27272727272728,332.09090909090907,0.4490093077701216,0.5613217324345636,133.9090909090909
1.3473955350617288,158.11111111111111,2.303998847207817,1.4299224258333756,110.12037037037038,9,152.28673835125448,0.10147732962559677,8.0,209.77777777777777,135.44444444444446,102.77777777777777,299.8888888888889,0.48964122622888695,0.6184932222047654,146.66666666666666
1.3836176013888892,143.4,2.198423733138528,1.266030592155081,97.34930555555556,10,134.83225806451617,0.07751641750088124,9.0,169.5,94.7,59.5,232.6,0.5101534158292818,0.6575746622861017,203.1
1.3829418236111108,171.75,2.3881529173145277,1.55607299712252,109.590625,8,165.7217741935484,0.06771196082140823,10.0,166.75,107.875,106.375,259.875,0.4795438693659425,0.6138910941676492,191.375
1.4140118152579362,236.85714285714286,2.7819716132386536,2.1616148503926786,133.01666666666668,7,230.21198156682027,0.03760146132252148,11.0,159.28571428571428,131.14285714285714,143.28571428571428,291.2857142857143,0.4280633471075257,0.5440682973015064,170.0
1.3817787519841267,111.57142857142857,2.0550538448865496,0.982583674087536,90.68353174603176,7,104.64516129032259,0.16404632061576643,12.0,173.42857142857142,106.28571428571429,0.0,248.71428571428572,0.5264036340642237,0.6966829986622683,181.85714285714286
1.4587044419444442,139.66666666666666,2.333145067104741,1.243071331213085,100.13648148148148,15,132.38709677419357,0.11631886527048217,13.0,199.0,126.93333333333334,71.26666666666667,283.8,0.477965241828873,0.6649136840989438,159.06666666666666
1.4080778255902777,130.5,2.137096083707437,1.1619718309859155,91.90381944444442,8,123.74999999999999,0.0817512262723627,14.0,167.125,92.0,34.625,220.25,0.5171688041721221,0.6834490527274307,216.0
1.4709026997222223,178.0,2.525525370243671,1.6067847947902472,110.06777777777779,5,171.12258064516126,0.10458332690318947,15.0,165.4,118.8,114.8,275.0,0.45486278832912774,0.6240674372096036,174.4
1.446666417577161,174.77777777777777,2.4091421524078633,1.5633297995860467,104.94182098765434,9,166.49462365591395,0.06018813967015271,16.0,167.77777777777777,103.11111111111111,97.88888888888889,252.0,0.4742940218247814,0.6356259202490779,192.33333333333334
1.3275199017361115,96.125,1.9466046780270376,0.8398076631834015,89.44548611111111,8,89.43951612903224,0.1898623727197739,17.0,187.625,115.375,0.0,261.5,0.5494694692141013,0.7045978052476478,168.0
1.4135718062878788,198.1818181818182,2.6451111238505947,1.7982184406536972,123.37146464646466,11,191.51026392961876,0.08390018953664936,18.0,174.72727272727272,134.27272727272728,133.54545454545453,300.8181818181818,0.44705313522728857,0.5744297602250256,155.1818181818182
1.4673215317901234,221.88888888888889,2.7044781710399355,2.012620526023525,121.0597222222222,9,214.34408602150538,0.03435680362299972,19.0,159.11111111111111,114.66666666666667,127.44444444444444,268.55555555555554,0.43329477768909014,0.5791542447737756,182.88888888888889
1.4109393353009256,104.58333333333333,2.0169740153863445,0.9115805946791862,85.67141203703704,12,97.08333333333331,0.11817362343394756,20.0,175.83333333333334,95.0,0.0,224.25,0.5338669214347201,0.7209968770541305,208.33333333333334
1.415709361098485,195.63636363636363,2.7142172782129275,1.7736566023708233,127.94520202020202,11,188.89442815249265,0.06254019151876535,21.0,196.27272727272728,148.36363636363637,144.8181818181818,320.0,0.44181643392248476,0.5570992503953677,143.72727272727272
1.3497691066071429,204.28571428571428,2.433703150371852,1.8437939464745463,117.29166666666667,7,196.3640552995392,0.0534320029105938,22.0,155.42857142857142,106.42857142857143,115.0,255.85714285714286,0.4654200856831397,0.5816144956007445,191.71428571428572
