id,avg_spd,grp_shr,trl_shr,str_cst,avg_int,ctrl_par,std_spd,id,MFR,MET,max_pop2,MDB,avg_a_spd,ATR,cong_time,max_pop,MRD,avg_dsr_spd,cong_ratio,avg_duration,avg_spd_ratio,max_time
21,1.38285685,0.073571323,0.487523969,24.99035886,2.080855237,0.238531212,0.203565285,21,163.8666667,271.6,117.3763441,1.102125297,0.711961028,2.12596095,24.73333333,124,117.5333333,1.400706715,0.159112468,92.3875,0.508124717,183.6
22,1.346083346,0.613375795,0.592681334,17.7604772,2.163307102,0.208134946,0.249373608,22,162.5333333,273.8,108.2666667,1.016588419,0.667942698,2.22240788,8.066666667,115.0666667,122.9333333,1.448321115,0.135065399,96.87277778,0.504645114,203.6
23,1.27426104,0.249059597,0.697974525,18.27703384,1.419398218,0.037065572,0.285600832,23,177.9333333,265.0666667,165.0086022,1.549376546,0.620105542,2.305942665,101.3333333,172.2666667,112.8,1.355619051,0.077735505,110.6265741,0.485768315,169.2
24,1.281853166,0.592495144,0.629344932,19.58334042,1.585830345,0.735581819,0.197388111,24,170.8666667,280.7333333,175.7978495,1.650684033,0.572994411,2.740354979,114.4,182.3333333,124.8666667,1.482768901,0.058083418,120.8889815,0.449806764,169.1333333
25,1.341336109,0.551732388,0.57018202,37.34981377,1.632986621,0.770036903,0.195990968,25,151.3333333,303.6666667,198.3053763,1.862022313,0.556586158,3.072049361,139.4,204.5333333,140.0666667,1.598602573,0.041414098,127.6316667,0.416734882,195.9333333
26,1.379256106,0.614976009,0.695686622,21.41422189,2.14786918,0.204234383,0.298731219,26,157,283.3333333,120.1677419,1.128335605,0.660370699,2.332164955,34.26666667,127.7333333,127.7333333,1.490206685,0.086839625,101.0056481,0.48828397,218.8666667
27,1.365124797,0.394650917,0.62336065,14.14935703,1.861231617,0.878487471,0.151549784,27,188.8666667,242.0666667,98.61935484,0.926003332,0.705674494,2.079645617,0,105.3333333,104.2,1.422433526,0.128758401,87.77157407,0.520328303,186.3333333
28,1.358581066,0.134962666,0.591595203,23.79559274,2.083310015,0.7983673,0.263318633,28,160.4,280.0666667,121.4580645,1.14045131,0.697912927,2.097144793,41.66666667,127.6,122.4666667,1.367394407,0.161583845,96.2087037,0.510604243,186.8
29,1.319408917,0.400940404,0.648491054,32.84950033,2.177072474,0.409835484,0.155997518,29,137,326.9333333,180.9225806,1.698803574,0.568830829,2.752720974,143.0666667,186.8666667,155,1.470895323,0.06944891,123.802963,0.433142011,213
30,1.339210833,0.339700682,0.593169243,37.04653285,2.081366396,0.568736295,0.266178635,30,136.4,323,167.8021505,1.575607047,0.587958017,2.662287252,135,174.4666667,151.6,1.460629998,0.104849683,120.6216667,0.44202454,201.2666667
